TEAM,GP,W,L,MIN,DEFRTG,DREB,DREB%,STL,BLK,Opp PTS OFF TOV,Opp PTS 2nd CHANCE,Opp PTS FB,Opp PTS PAINT,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,Season,Team,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Opp. Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Opp. Made Avg. Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.),Opp. Missed Avg. Shot Dis.(ft.),Season,Season Type,Match Count
Atlanta Hawks,82,48,34,48.4,98.8,33.8,74.6,9.1,5.9,16,13.1,11.9,40.9,82,48,34,3966,103,98.8,4.1,66.3,1.71,19.1,19.1,74.6,47.5,15,51.6,55.2,99.4,52.8,2015-2016,Atlanta Hawks,41.75,10.71,13.84,33.45,0.25,12.76,12.58,10.47,10.41,14.69,14.22,2015-2016,REG,82
Boston Celtics,82,48,34,48.2,100.9,33.3,74.6,9.2,4.2,14.8,14.2,10.8,43,82,48,34,3956,103.9,100.9,3,61.6,1.76,17.6,25.1,74.6,49.4,13.5,48.8,53.1,101.15,52,2015-2016,Boston Celtics,42.73,12.51,15.55,29,0.21,12.43,12.38,10.01,10.1,14.33,14.17,2015-2016,REG,82
Brooklyn Nets,82,21,61,48.2,108.5,31.9,75.7,7.6,4,18.3,12.1,14.5,47.9,82,21,61,3951,100.9,108.5,-7.6,58.3,1.51,17.1,24.1,75.7,49.4,15.1,49.2,52.7,97.37,46,2015-2016,Brooklyn Nets,43.68,16.32,18.1,21.68,0.23,11.66,12.34,9.79,10.03,13.21,14.47,2015-2016,REG,82
Charlotte Hornets,82,48,34,48.4,101.8,35,79.8,7.3,5.3,14.1,11.4,12.4,40,82,48,34,3971,105.1,101.8,3.3,58.6,1.73,16.8,20,79.8,49.6,12.7,50.2,54.5,97.8,51.1,2015-2016,Charlotte Hornets,36.4,13.29,15.52,34.64,0.14,13.73,13.05,11.68,10.97,15.33,14.71,2015-2016,REG,82
Chicago Bulls,82,42,40,48.5,103.9,35.2,74.9,6,5.7,16,14.3,13.8,44.4,82,42,40,3981,102.1,103.9,-1.8,59.1,1.64,17.1,24.5,74.9,50.2,14,48.7,52.6,98.25,49.4,2015-2016,Chicago Bulls,41.5,15.43,18.51,24.11,0.45,12.32,12.23,10.71,10.18,13.58,13.85,2015-2016,REG,82
Cleveland Cavaliers,82,57,25,48.4,102.3,33.9,78.5,6.7,3.9,15.6,11.2,11.2,40.8,82,57,25,3971,108.1,102.3,5.8,58.7,1.67,17.5,25.1,78.5,52,14.1,52.4,55.8,95.48,52.8,2015-2016,Cleveland Cavaliers,39.39,12.83,12.52,35.09,0.17,13.33,12.46,11.03,10.22,15.3,14.28,2015-2016,REG,82
Dallas Mavericks,82,42,40,48.8,104.3,33.9,76.2,6.8,3.7,14.8,13.4,16,40.9,82,42,40,4001,104.8,104.3,0.6,59.2,1.73,17.2,20.6,76.2,48.5,13.1,50.2,54.4,96.4,50.3,2015-2016,Dallas Mavericks,35.79,14.47,15.87,33.6,0.28,13.71,13.07,11.4,10.77,15.55,14.96,2015-2016,REG,82
Denver Nuggets,82,33,49,48.4,106.4,33.1,77.3,7.4,4.8,16.8,12.1,13,43.1,82,33,49,3966,102.7,106.4,-3.7,60.1,1.55,17,25.8,77.3,51.1,14.8,48.9,53.1,98.16,47.9,2015-2016,Denver Nuggets,47.41,10.53,14.18,27.6,0.29,11.81,12.62,9.65,10.53,13.53,14.41,2015-2016,REG,82
Detroit Pistons,82,44,38,48.5,103.4,33.9,79.3,7,3.7,14.6,10.7,10.4,44.4,82,44,38,3976,103.3,103.4,-0.2,51.2,1.44,14.9,27,79.3,52.1,13.7,49.1,52.2,97.39,48.6,2015-2016,Detroit Pistons,44.16,13.92,11.66,29.76,0.51,12.33,11.95,10.09,9.85,14.09,13.74,2015-2016,REG,82
Golden State Warriors,82,73,9,48.5,100.9,36.2,76,8.4,6.1,16.6,13.8,14.5,45.1,82,73,9,3976,112.5,100.9,11.6,68,1.91,20.5,23.5,76,51.3,14.9,56.3,59.3,101.65,56.7,2015-2016,Golden State Warriors,39.59,12.24,11.94,35.9,0.34,13.48,12.42,11.63,10.16,15.24,14.15,2015-2016,REG,82
Houston Rockets,82,41,41,48.4,105.6,31.7,72.8,10,5.2,19.5,14.7,14.4,44.6,82,41,41,3966,105.5,105.6,-0.2,58.9,1.39,16.5,25.7,72.8,49.1,15.8,51.6,55.3,100.08,49,2015-2016,Houston Rockets,45.78,9.03,8.17,36.6,0.41,12.55,12.66,9.9,10.32,14.74,14.63,2015-2016,REG,82
Indiana Pacers,82,45,37,48.5,100.2,33.9,76,9,4.8,16.3,13,12.2,41.6,82,45,37,3976,102.4,100.2,2.2,55.4,1.43,16.2,23.4,76,49.8,14.9,49.7,53.6,98.99,51.8,2015-2016,Indiana Pacers,37.32,13.85,21.88,26.66,0.3,13.15,12.76,10.75,10.45,15.11,14.58,2015-2016,REG,82
Los Angeles Clippers,82,53,29,48.4,100.9,33.3,73.8,8.6,5.6,14.5,13.8,12.4,41.3,82,53,29,3966,106.5,100.9,5.5,59.6,1.76,17.6,20.1,73.8,47.4,13.2,52.4,55.6,97.97,53.3,2015-2016,Los Angeles Clippers,34.76,11.58,21.62,31.75,0.29,14.15,12.58,11.82,10.34,16.17,14.3,2015-2016,REG,82
Los Angeles Lakers,82,17,65,48.1,109.3,32.3,74.7,7.2,4.1,16.5,14.3,17,47.8,82,17,65,3946,98.6,109.3,-10.7,51.3,1.31,14.1,23.1,74.7,48,13.9,46,50.9,97.99,42.4,2015-2016,Los Angeles Lakers,37.85,16.41,16.9,28.49,0.35,13.06,12.19,10.71,9.62,14.71,14.51,2015-2016,REG,82
Memphis Grizzlies,82,42,40,48.4,105.4,30.5,75.1,8.8,4.3,15.1,11.8,14.6,38.5,82,42,40,3966,102.6,105.4,-2.9,56.2,1.56,16.1,25.3,75.1,49.1,13.8,47.7,52.4,95.65,48.3,2015-2016,Memphis Grizzlies,46.54,14.03,17.28,21.81,0.34,11.35,13.34,9.45,11.16,12.84,15.17,2015-2016,REG,82
Miami Heat,82,48,34,48.4,101.5,34.3,77.8,6.7,6.5,15.6,13,10.7,42,82,48,34,3966,104.2,101.5,2.6,54.3,1.48,16.4,23.8,77.8,51.7,14.7,50.8,54.5,95.75,52.5,2015-2016,Miami Heat,43.43,16.23,18.36,21.69,0.28,11.58,12.22,9.23,10.26,13.66,13.77,2015-2016,REG,82
Milwaukee Bucks,82,33,49,48.4,105.7,31.2,73.1,8.2,5.8,17.7,14.1,13,44,82,33,49,3966,102.2,105.7,-3.5,60.3,1.52,17.7,24.9,73.1,49.2,15.7,49.9,53.7,96.55,48.3,2015-2016,Milwaukee Bucks,52.29,13.75,15.17,18.57,0.22,10.1,12.37,7.96,9.97,11.97,14.38,2015-2016,REG,82
Minnesota Timberwolves,82,29,53,48.5,107.1,31.5,74.7,8,4.6,17.8,13.2,13.4,46.1,82,29,53,3976,104.3,107.1,-2.8,61.9,1.56,17.8,24.3,74.7,49.8,15.3,49.8,54.9,97.59,49.7,2015-2016,Minnesota Timberwolves,42.66,13.23,23.9,20.06,0.15,11.88,12.42,9.55,9.94,13.91,14.61,2015-2016,REG,82
New Orleans Pelicans,82,30,52,48.2,107.3,33.1,78.8,7.7,4.2,15,11.3,11.7,43.2,82,30,52,3956,103.2,107.3,-4.1,57.7,1.65,16.9,21.2,78.8,49,13.5,49.8,53.7,98.91,47.2,2015-2016,New Orleans Pelicans,41.01,13.76,17.54,27.48,0.21,12.52,12.92,10.67,10.65,14.03,14.92,2015-2016,REG,82
New York Knicks,82,32,50,48.3,104.8,34,75.8,5.7,5.7,15.4,12.7,12.8,43.1,82,32,50,3961,102,104.8,-2.8,55.7,1.53,16.1,23.7,75.8,50.1,13.9,48.3,52.7,95.83,48.7,2015-2016,New York Knicks,36.61,17.61,20.26,25.32,0.2,12.99,12,11.21,9.95,14.38,13.63,2015-2016,REG,82
Oklahoma City Thunder,82,55,27,48.4,103,35.6,76,7.4,5.9,17.6,13.9,13.2,45.2,82,55,27,3966,109.9,103,6.9,55.8,1.44,16.8,31.1,76,54.7,15.9,52.4,56.5,99.37,54.6,2015-2016,Oklahoma City Thunder,42.72,15.02,14.72,27.41,0.14,11.95,11.79,9.7,9.64,13.99,13.47,2015-2016,REG,82
Orlando Magic,82,35,47,48.5,104.6,33,76.5,8.2,5.1,16,11.4,13.2,43.5,82,35,47,3981,102.6,104.6,-2,59.6,1.67,17.7,23.1,76.5,49.4,14.2,50,53.3,98.16,48.8,2015-2016,Orlando Magic,40.92,13.01,20.6,25.14,0.34,12.52,12.51,10.38,10.31,14.3,14.39,2015-2016,REG,82
Philadelphia 76ers,82,10,72,48.3,106.7,31.8,74,8.3,6,20,14.7,16.7,45.6,82,10,72,3961,96.6,106.7,-10,59.4,1.31,16.3,20.6,74,46.4,16.2,48.7,51.9,100.23,42.8,2015-2016,Philadelphia 76ers,44.42,12.85,9.98,32.52,0.23,12.42,11.96,9.9,9.92,14.33,13.73,2015-2016,REG,82
Phoenix Suns,82,23,59,48.1,107,33.3,77.1,7.7,3.8,20.2,12.6,17.3,43.8,82,23,59,3941,99.4,107,-7.6,55.8,1.21,15.5,25.4,77.1,50.6,16.9,48.7,52.6,100.86,45,2015-2016,Phoenix Suns,41.74,12.58,15.53,29.94,0.21,12.61,12.58,10.37,10.47,14.33,14.43,2015-2016,REG,82
Portland Trail Blazers,82,44,38,48.3,105.6,33.9,76.2,6.9,4.6,16.3,12.4,11.1,40.9,82,44,38,3961,106.1,105.6,0.6,55.2,1.46,16.2,25.9,76.2,51,14.8,51.1,54.8,98.31,49.3,2015-2016,Portland Trail Blazers,39.08,12.02,15.66,33.04,0.2,13.33,12.63,11.5,10.97,14.83,14.01,2015-2016,REG,82
Sacramento Kings,82,33,49,48.3,106.3,33.7,74.9,8.9,4.5,18.6,13.6,15,43.6,82,33,49,3961,103.3,106.3,-3,61.2,1.52,17.7,23.9,74.9,49.6,15.7,51,54.6,102.24,49.4,2015-2016,Sacramento Kings,48.15,10.36,15.52,25.71,0.25,11.68,13.27,9.49,11.09,13.58,15.15,2015-2016,REG,82
San Antonio Spurs,82,67,15,48.1,96.6,34.5,79.1,8.3,5.9,13.5,10.7,12.1,40.1,82,67,15,3941,108.4,96.6,11.8,61.1,1.88,18.9,23,79.1,52,13.7,52.6,56.4,95.72,57.8,2015-2016,San Antonio Spurs,38.78,18.74,20.19,22.06,0.22,12.19,12.17,10.25,10.13,14.02,13.75,2015-2016,REG,82
Toronto Raptors,82,56,26,48.2,102.7,33.2,77.7,7.8,5.5,14.2,11.6,11,40.1,82,56,26,3956,107,102.7,4.3,51.1,1.43,15,24.6,77.7,51.6,13.6,50.4,55.2,95.31,52.5,2015-2016,Toronto Raptors,42.74,14.72,13.9,28.37,0.27,12.38,12.58,10.4,10.88,14,13.94,2015-2016,REG,82
Utah Jazz,82,40,42,48.7,101.6,32.5,77.7,7.7,5.2,16,11.5,11.7,39.6,82,40,42,3991,103.1,101.6,1.6,52.6,1.27,15.2,25.9,77.7,51.9,15.8,50.1,54,93.26,50.8,2015-2016,Utah Jazz,41.32,16.34,12.73,29.27,0.35,12.32,12.33,10.18,10.39,14.06,13.89,2015-2016,REG,82
Washington Wizards,82,41,41,48.2,103.6,32.8,77.7,8.6,3.9,15.7,11.7,12.7,41.2,82,41,41,3951,102.9,103.6,-0.7,61.9,1.69,18.2,20.6,77.7,48.6,14.3,51.1,54.4,100.63,49.7,2015-2016,Washington Wizards,38.48,14.4,18.96,27.91,0.26,12.97,13.03,10.64,10.93,14.96,14.83,2015-2016,REG,82
Atlanta Hawks,82,60,22,48.1,100.7,31.8,73.4,9.1,4.6,15.7,14.2,11.2,39.4,82,60,22,3946,106.2,100.7,5.6,67.6,1.81,19.7,21.4,73.4,48.2,14.7,52.7,56.3,96.25,,2014-2015,Atlanta Hawks,41.85,10.93,15.09,32.08,0.04,12.75,13.04,10.85,10.75,14.41,14.84,2014-2015,REG,82
Boston Celtics,82,40,42,48.5,102.1,32.7,75,8.2,3.6,16.2,13.5,10.9,44.6,82,40,42,3976,101.7,102.1,-0.4,62.9,1.77,18.1,24.7,75,49.5,13.9,48.9,52.3,98.4,,2014-2015,Boston Celtics,39.64,13.03,19.33,27.79,0.22,12.84,12.19,10.56,9.82,14.66,14.14,2014-2015,REG,82
Brooklyn Nets,82,38,44,48.6,105,32,73.7,7,4.1,15.6,14,13.8,43.6,82,38,44,3986,101.9,105,-3.1,55.9,1.51,16.4,23.9,73.7,48.9,14.4,49.1,52.9,94.97,54,2014-2015,Brooklyn Nets,42.64,17.05,16.31,23.63,0.37,11.92,12.43,9.76,10.13,13.69,14.36,2014-2015,REG,82
Charlotte Hornets,82,33,49,48.5,101,34.1,79.3,6.1,5.5,12.8,12.6,11,38.5,82,33,49,3981,97.6,101,-3.4,56.8,1.69,15.9,22.1,79.3,50,12.3,45.6,49.8,95.33,49.8,2014-2015,Charlotte Hornets,37.61,16.42,23.38,22.33,0.26,12.75,12.8,10.8,11.05,14.16,14.18,2014-2015,REG,82
Chicago Bulls,82,50,32,48.5,101.5,34,74.4,6.3,5.8,15.3,13.2,13,40.8,82,50,32,3976,104.7,101.5,3.3,59.3,1.56,16.8,27,74.4,51.3,14.5,48.9,53.6,95.35,48,2014-2015,Chicago Bulls,43.71,13.09,16.33,26.51,0.35,12.18,12.3,10.23,10.51,13.72,13.68,2014-2015,REG,82
Cleveland Cavaliers,82,53,29,48.2,104.1,31.9,74.7,7.4,4.1,16.2,12.4,11.8,42.7,82,53,29,3956,107.7,104.1,3.7,58.7,1.55,17.2,26.8,74.7,51.1,14.9,52,55.7,94.78,48.2,2014-2015,Cleveland Cavaliers,41.88,12.35,12.33,33.3,0.15,12.77,12.28,10.55,10,14.66,14.18,2014-2015,REG,82
Dallas Mavericks,82,50,32,48.5,103.7,31.8,72.2,8.1,4.5,15.2,14,15.9,40.9,82,50,32,3976,107.2,103.7,3.5,56.7,1.74,17.2,23.6,72.2,47.8,13.2,51.5,55,97.43,52.9,2014-2015,Dallas Mavericks,40.05,12.17,18.18,29.46,0.14,12.81,12.7,10.47,10.56,14.81,14.46,2014-2015,REG,82
Denver Nuggets,82,30,52,48.5,105.5,32.4,74.7,7.8,4.5,16.4,14.1,13.2,42.9,82,30,52,3976,101.6,105.5,-3.9,57.7,1.53,16.3,26.6,74.7,49.8,14.2,47.9,51.8,98.67,51.4,2014-2015,Denver Nuggets,44.48,11.99,15.13,28.09,0.31,12.26,12.35,9.85,10.19,14.11,14.18,2014-2015,REG,82
Detroit Pistons,82,32,50,48.4,104.2,32.1,75,7.6,4.7,15.8,13.5,11.3,43,82,32,50,3966,102.3,104.2,-1.8,58.2,1.61,16.5,27.7,75,50.4,13.9,48.2,51.5,95.18,52.1,2014-2015,Detroit Pistons,48.49,9.67,12.81,28.7,0.33,11.77,12.03,9.61,9.94,13.41,13.78,2014-2015,REG,82
Golden State Warriors,82,67,15,48.1,98.2,34.3,74.5,9.3,6,15.2,14.2,13.9,41.6,82,67,15,3946,109.7,98.2,11.4,65.9,1.9,19.9,24.1,74.5,50.1,14.4,54,57.1,100.69,46.5,2014-2015,Golden State Warriors,39.38,14.17,15.41,30.69,0.35,13.08,12.52,10.94,10.37,15.03,14.13,2014-2015,REG,82
Houston Rockets,82,56,26,48.3,100.5,32,72.9,9.5,5,18.3,14,15.3,44.1,82,56,26,3961,104.2,100.5,3.7,60,1.33,16.6,26.8,72.9,49.9,16.7,51.2,54.8,99.25,47.8,2014-2015,Houston Rockets,46.31,7.65,6.73,39.06,0.25,12.71,12.25,10.03,9.73,14.85,14.26,2014-2015,REG,82
Indiana Pacers,82,38,44,48.4,100.9,34.4,77.9,6.2,4.6,15.5,11.8,13,38.3,82,38,44,3971,100.8,100.9,-0.1,58.6,1.53,16.7,24,77.9,51.2,14.5,48.4,52.3,95.5,56.9,2014-2015,Indiana Pacers,37.81,14.46,22.23,25.22,0.28,13,12.61,11.21,10.68,14.4,14.1,2014-2015,REG,82
Los Angeles Clippers,82,56,26,48.1,103,33.1,75.7,7.8,5,14.9,12.8,12.3,38.8,82,56,26,3946,109.8,103,6.9,62.9,2.01,18.8,22.8,75.7,49.8,12.7,53.3,56.5,96.96,50.9,2014-2015,Los Angeles Clippers,33.97,11.91,21.91,32.03,0.18,14.14,12.98,12,10.84,16.06,14.68,2014-2015,REG,82
Los Angeles Lakers,82,21,61,48.6,108,32.3,76.3,7,4.5,15.9,12.5,15.1,45.1,82,21,61,3986,100.8,108,-7.2,56.2,1.58,16.1,25.4,76.3,49.8,13.6,47.3,51.3,96.33,50.5,2014-2015,Los Angeles Lakers,38.58,16.1,23.3,21.89,0.13,12.54,12.14,10.34,9.83,14.23,14.16,2014-2015,REG,82
Memphis Grizzlies,82,55,27,48.5,99.9,32.1,75.3,8.5,4.2,14.1,11.6,13.4,39,82,55,27,3981,103.1,99.9,3.1,57.4,1.62,17,24.7,75.3,50.1,14,48.9,53.1,94.21,54,2014-2015,Memphis Grizzlies,46.43,17.3,17.92,18.02,0.33,10.95,12.82,8.91,10.6,12.68,14.58,2014-2015,REG,82
Miami Heat,82,37,45,48.1,103.8,30,73.4,7.8,4.5,16.9,13.3,11.4,41,82,37,45,3946,101.5,103.8,-2.4,56.4,1.34,16.2,23.2,73.4,48.8,15.9,50,54,93.26,45,2014-2015,Miami Heat,40.09,15.34,18.37,25.89,0.3,12.38,12.48,9.95,10.18,14.41,14.4,2014-2015,REG,82
Milwaukee Bucks,82,41,41,48.6,99.3,31.4,73.3,9.6,4.9,16.8,13.3,10.7,39.8,82,41,41,3986,100.5,99.3,1.2,62.7,1.41,17.9,25.4,73.3,49.5,17.2,49.9,53.6,96.5,53,2014-2015,Milwaukee Bucks,44.86,13.63,19.21,22.2,0.1,11.4,12.21,9.49,9.95,13.02,13.96,2014-2015,REG,82
Minnesota Timberwolves,82,16,66,48.3,109.6,29.3,71.6,8.1,4,17.4,14.9,14.3,48,82,16,66,3961,99.8,109.6,-9.8,59.3,1.44,16.5,26.6,71.6,48.4,15.3,46.8,51.7,96.96,49.2,2014-2015,Minnesota Timberwolves,43.05,15.53,23.5,17.73,0.19,11.6,12.22,9.5,9.66,13.23,14.64,2014-2015,REG,82
New Orleans Pelicans,82,45,37,48.2,104.7,32,75.1,6.7,6.2,14.8,12.9,13.7,46.5,82,45,37,3956,105.4,104.7,0.7,58.1,1.66,17.2,27.1,75.1,51.1,14.1,50.1,53.7,93.7,51.1,2014-2015,New Orleans Pelicans,46.64,13.1,16.93,23.06,0.27,11.42,11.46,9.6,9.15,12.96,13.4,2014-2015,REG,82
New York Knicks,82,17,65,48.4,107.2,29.8,73.1,7,4.7,17.1,12.5,12.3,41.1,82,17,65,3971,97.1,107.2,-10.1,60.6,1.45,16.8,24.5,73.1,48.1,15.5,47,50.8,93.67,45.3,2014-2015,New York Knicks,35.82,15.54,24.65,23.73,0.27,13.27,12.2,11.61,10.33,14.51,13.79,2014-2015,REG,82
Oklahoma City Thunder,82,45,37,48.4,103.1,34.7,75.6,7.3,5.5,16.5,12.8,12.5,42.8,82,45,37,3966,104.5,103.1,1.3,52.8,1.4,15.4,28.9,75.6,52.6,14.8,49.2,53.2,98.35,50.8,2014-2015,Oklahoma City Thunder,43.3,14.14,16.42,25.98,0.16,11.93,12.1,9.73,9.96,13.71,13.78,2014-2015,REG,82
Orlando Magic,82,25,57,48.2,105.2,31.8,76,7.9,3.8,16.9,11.7,12.3,41,82,25,57,3951,99.6,105.2,-5.6,55,1.39,16.3,23.1,76,49,15.5,49.4,52.4,95.89,44.1,2014-2015,Orlando Magic,45.47,13.8,17.14,23.37,0.22,11.56,12.75,9.53,10.56,13.24,14.64,2014-2015,REG,82
Philadelphia 76ers,82,18,64,48.3,102.1,30.9,73,9.6,5.9,20.6,14,14.6,41.7,82,18,64,3961,93,102.1,-9.1,60.9,1.16,15.6,25.5,73,48.1,17.9,45.9,49.4,98.28,50.5,2014-2015,Philadelphia 76ers,47.15,9.25,11.75,31.59,0.27,12.22,12.14,9.64,10.04,14,13.84,2014-2015,REG,82
Phoenix Suns,82,39,43,48.5,103.4,32.2,73.5,8.5,4.7,17.2,14.4,15.2,45.3,82,39,43,3976,102.9,103.4,-0.5,52.2,1.34,15.5,24.5,73.5,48.8,15.2,50.1,53.7,98.68,45.5,2014-2015,Phoenix Suns,39.64,16.01,15.26,28.77,0.33,12.61,11.88,10.17,9.65,14.61,13.71,2014-2015,REG,82
Portland Trail Blazers,82,51,31,48.4,101.4,35.1,76.2,6.4,4.5,15.1,13.8,13.3,43.1,82,51,31,3971,105.5,101.4,4.2,56.7,1.61,16.9,24.2,76.2,50.7,14,50.8,54.4,96.46,42.6,2014-2015,Portland Trail Blazers,35.47,13.95,18.96,31.41,0.21,13.74,11.97,11.47,10.04,15.59,13.49,2014-2015,REG,82
Sacramento Kings,82,29,53,48.4,106.5,33.3,75.2,6.7,4,18.6,13.6,16.8,43.9,82,29,53,3971,102.5,106.5,-4,55.4,1.25,15.6,26.5,75.2,51.8,16.4,49,54.2,97.92,49.1,2014-2015,Sacramento Kings,48.18,13.14,18.19,20.28,0.22,11.05,12.91,9.03,10.51,12.75,14.93,2014-2015,REG,82
San Antonio Spurs,82,55,27,48.7,99.6,33.8,77.3,8,5.4,15.1,11.9,14.1,42.5,82,55,27,3991,106.2,99.6,6.6,62.3,1.75,18.6,23.4,77.3,50.9,14.4,51.7,55.5,95.93,52.2,2014-2015,San Antonio Spurs,43.01,15.28,14.78,26.78,0.15,12.05,11.67,10,9.83,13.86,13.14,2014-2015,REG,82
Toronto Raptors,82,49,33,48.4,104.8,30.8,73.3,7.5,4.4,15,14.2,12.4,43.7,82,49,33,3971,108.1,104.8,3.2,54.7,1.61,16.2,25.6,73.3,49.5,13.4,50.8,55.3,95.4,48.5,2014-2015,Toronto Raptors,41.43,13.82,14.52,30.05,0.18,12.77,12.2,10.45,10.02,14.71,14.05,2014-2015,REG,82
