TEAM,GP,W,L,MIN,DEFRTG,DREB,DREB%,STL,BLK,Opp PTS OFF TOV,Opp PTS 2nd CHANCE,Opp PTS FB,Opp PTS PAINT,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,Season,Team,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Opp. Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Opp. Made Avg. Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.),Opp. Missed Avg. Shot Dis.(ft.),Season,Season Type,Match Count
Utah Jazz,82,38,44,48.1,102.1,31.9,76.3,7.6,6,17.4,12.5,12.6,39.5,82,38,44,3941,102.5,102.1,0.5,56.3,1.3,16,29.1,76.3,52.8,16.5,49.4,53.1,92.78,54.5,2014-2015,Utah Jazz,43.59,12.93,16.01,27.17,0.29,12.19,12.34,9.64,10.46,14.25,13.85,2014-2015,REG,82
Washington Wizards,82,46,36,48.7,100,34.2,77.3,7.3,4.6,16.3,12.6,11.7,38.3,82,46,36,3991,101.8,100,1.9,62.7,1.6,18.3,24.9,77.3,51.7,15.5,49.9,53.4,95.96,50.6,2014-2015,Washington Wizards,39.57,17.11,22.96,20.16,0.19,12.11,13.01,9.94,11.01,13.97,14.55,2014-2015,REG,82
Atlanta Hawks,82,38,44,48.4,104.1,31.3,74.4,8.3,4,17.3,13.2,12.4,42.5,82,38,44,3966,103.4,104.1,-0.7,66.7,1.63,19,21,74.4,47.9,15.6,51.5,55.4,96.87,50.2,2013-2014,Atlanta Hawks,39.91,13.98,14.48,31.43,0.19,12.91,12.48,10.83,10.44,14.67,14.22,2013-2014,REG,82
Boston Celtics,82,25,57,48.1,105.2,30.5,74.2,7.1,4.2,16.5,13.8,13.3,44.8,82,25,57,3946,99.7,105.2,-5.5,57.6,1.37,16.3,27.4,74.2,50.1,15.9,47.7,51.7,95.88,46.1,2013-2014,Boston Celtics,39.44,13.56,21.89,24.89,0.22,12.77,11.66,10.76,9.44,14.32,13.58,2013-2014,REG,82
Brooklyn Nets,82,44,38,48.5,104.9,29.4,72.3,8.6,3.8,16.6,12.8,13,41.1,82,44,38,3976,104.4,104.9,-0.6,58.5,1.44,16.8,21.7,72.3,47.1,15.4,51.4,55.5,93.68,49.2,2013-2014,Brooklyn Nets,38.48,15.45,16.01,29.69,0.38,13.09,12.47,11.1,10.43,14.78,14.2,2013-2014,REG,82
Charlotte Bobcats,82,43,39,48.5,101.2,33.2,77.6,6.1,5.1,14,12.6,10.2,38.8,82,43,39,3981,101.2,101.2,0.1,59.7,1.76,17.1,21.9,77.6,49.6,12.9,48.1,52.2,94.73,50.8,2013-2014,Charlotte Bobcats,40.81,15.55,21.82,21.55,0.27,12.15,12.59,9.99,10.85,13.87,13.98,2013-2014,REG,82
Chicago Bulls,82,48,34,48.6,97.8,32.7,75.4,7.2,5.2,15.6,11.7,12.4,37,82,48,34,3986,99.7,97.8,1.9,65.4,1.52,17.7,27.2,75.4,51.7,15.9,47.1,51.8,92.72,52.8,2013-2014,Chicago Bulls,42.04,13.61,22.17,21.83,0.35,12.18,12.6,10.37,10.68,13.57,14.05,2013-2014,REG,82
Cleveland Cavaliers,82,33,49,48.6,104.8,32.1,75.8,7.1,3.7,16.6,12.6,12.1,38.9,82,33,49,3986,101.3,104.8,-3.5,57.2,1.49,16.3,27.2,75.8,50.9,14.6,47.9,51.8,95.68,46.9,2013-2014,Cleveland Cavaliers,40.65,16.09,19.69,23.22,0.35,12.3,13.21,10.57,11.03,13.64,15.01,2013-2014,REG,82
Dallas Mavericks,82,49,33,48.4,105.9,30.7,72.7,8.6,4.3,16.2,13.5,15.6,43.6,82,49,33,3966,109,105.9,3,59.6,1.74,18.1,24.6,72.7,48.8,14.1,52.6,56.4,95.74,52.1,2013-2014,Dallas Mavericks,38.08,17.25,17.3,27.13,0.25,12.77,12.36,10.87,10.04,14.49,14.37,2013-2014,REG,82
Denver Nuggets,82,36,46,48.2,105.4,33.1,74.5,7.5,5.6,17.6,14.1,13.5,45.3,82,36,46,3951,103.3,105.4,-2.1,58.4,1.41,16.5,27.5,74.5,50.9,15.7,49.7,53.6,100.68,48.1,2013-2014,Denver Nuggets,46.46,10.71,15,27.51,0.33,12.02,11.92,9.77,9.87,13.83,13.65,2013-2014,REG,82
Detroit Pistons,82,29,53,48.2,107.3,30.8,73.4,8.4,4.8,16.9,14,14.1,44.3,82,29,53,3956,102.9,107.3,-4.4,53.9,1.44,15.6,31.4,73.4,51.4,14.8,48.2,51.4,97.39,46.4,2013-2014,Detroit Pistons,52.27,9.84,15.72,21.83,0.34,10.66,12.1,7.95,9.94,12.84,14.02,2013-2014,REG,82
Golden State Warriors,82,51,31,48.4,99.9,34.4,76.3,7.8,5,17,13,13.3,40.7,82,51,31,3966,105.3,99.9,5.4,59.1,1.53,17.5,25.1,76.3,51.1,15.4,51.7,55,98.53,52.8,2013-2014,Golden State Warriors,40.06,13.99,16.87,28.78,0.3,12.93,12.59,10.94,10.59,14.64,14.13,2013-2014,REG,82
Houston Rockets,82,54,28,48.4,103.1,34.1,74.1,7.6,5.6,18,14.6,13.8,44,82,54,28,3966,108.6,103.1,5.5,56.3,1.33,16.2,27.4,74.1,52.1,16.3,53.1,57.1,98.81,53.4,2013-2014,Houston Rockets,52.38,8.06,6.59,32.8,0.17,11.46,12.41,8.9,10.26,13.75,14.12,2013-2014,REG,82
Indiana Pacers,82,56,26,48.2,96.7,34.5,76.8,6.7,5.4,15.4,11.7,11.7,35.7,82,56,26,3956,101.5,96.7,4.8,56,1.33,16,24.9,76.8,52.1,15.8,49,53.5,94.9,54.5,2013-2014,Indiana Pacers,39.71,16.36,20.48,23.17,0.27,12.49,12.53,10.73,10.98,13.93,13.66,2013-2014,REG,82
Los Angeles Clippers,82,57,25,48.2,102.1,32.5,72.5,8.6,4.8,15.6,14.2,11.1,44.6,82,57,25,3951,109.4,102.1,7.3,62.8,1.77,18.4,25,72.5,49.6,14,52.6,56.7,98.39,54.8,2013-2014,Los Angeles Clippers,37.79,12.38,20.83,28.83,0.18,13.31,12.13,10.78,9.68,15.61,14.06,2013-2014,REG,82
Los Angeles Lakers,82,27,55,48.1,107.9,32,71,7.5,5.4,18.3,15.8,16.7,49.2,82,27,55,3941,101.9,107.9,-6,63.9,1.62,18.2,20.2,71,45.6,15,50.5,54.2,100.98,46,2013-2014,Los Angeles Lakers,39.17,14.88,16.89,28.96,0.09,13.03,11.96,11.15,9.74,14.58,13.92,2013-2014,REG,82
Memphis Grizzlies,82,50,32,48.3,102.1,30.8,75.7,7.7,4.6,15.6,11.5,13.4,38.6,82,50,32,3961,103.3,102.1,1.2,57.4,1.59,17.3,28.3,75.7,52,14.7,49.4,52.9,92.25,51.8,2013-2014,Memphis Grizzlies,48.24,15.6,19.1,16.78,0.28,10.78,12.67,8.9,10.67,12.41,14.31,2013-2014,REG,82
Miami Heat,82,54,28,48.5,102.9,29.2,73,8.9,4.5,17.4,13.3,12,41.1,82,54,28,3976,109,102.9,6.1,58.8,1.52,18.2,20.6,73,47.8,15.8,55.4,59,93.26,53.9,2013-2014,Miami Heat,42.53,11.53,16.76,29.05,0.13,12.28,12.46,9.59,10.18,14.98,14.39,2013-2014,REG,82
Milwaukee Bucks,82,15,67,48.5,108.9,29.3,71.4,6.6,4.9,17.8,13.2,12.9,42.4,82,15,67,3976,100.2,108.9,-8.7,59.6,1.42,16.7,27.1,71.4,48.6,15.8,47.9,51.9,94.28,44.9,2013-2014,Milwaukee Bucks,44.96,13.82,18.17,22.94,0.1,11.62,12.07,9.82,10.15,13.03,13.77,2013-2014,REG,82
Minnesota Timberwolves,82,40,42,48.4,104.1,32.2,74.4,8.8,3.6,15.9,12.9,16.3,46.1,82,40,42,3971,105.6,104.1,1.4,61.6,1.72,17.4,27.4,74.4,50.3,13.8,48.6,53.5,99.82,51.9,2013-2014,Minnesota Timberwolves,45.4,12.74,17.4,24.25,0.21,11.63,12.26,9.21,9.97,13.56,14.3,2013-2014,REG,82
New Orleans Pelicans,82,34,48,48.4,107.3,30.3,73.8,7.9,6.4,16.1,12.9,13.5,43.8,82,34,48,3971,104.7,107.3,-2.6,56.3,1.55,16.6,26.9,73.8,50,14.5,49.5,53.7,94.51,48.3,2013-2014,New Orleans Pelicans,47.92,14.35,18.46,18.92,0.35,10.99,12.16,9.34,9.74,12.38,14.26,2013-2014,REG,82
New York Knicks,82,37,45,48.4,106.5,29.7,74.3,7.7,4.5,15,12.7,11.7,39.5,82,37,45,3971,105.4,106.5,-1,54.2,1.54,16.1,25.1,74.3,49,13.9,50.5,54.1,92.59,49,2013-2014,New York Knicks,34.23,13.28,22.21,29.9,0.37,13.91,12.51,11.98,10.46,15.49,14.24,2013-2014,REG,82
Oklahoma City Thunder,82,59,23,48.3,101,33.9,75.6,8.3,6.1,17.3,12.3,12.8,39.7,82,59,23,3961,108.1,101,7.1,56.2,1.43,16.7,26.5,75.6,52.2,15.6,52,56.6,97.91,54.3,2013-2014,Oklahoma City Thunder,39.88,16.3,16.71,26.85,0.27,12.48,12.44,10.3,10.54,14.43,13.92,2013-2014,REG,82
Orlando Magic,82,23,59,48.7,104.8,32.4,75.5,7.7,4.3,16.7,13,13.2,39.9,82,23,59,3991,99.3,104.8,-5.5,57.1,1.41,16.5,22.4,75.5,48.9,15.3,48.7,52.5,95.87,46.6,2013-2014,Orlando Magic,39.21,14.1,23.19,23.25,0.25,12.63,12.93,10.78,10.97,14.12,14.58,2013-2014,REG,82
Philadelphia 76ers,82,19,63,48.4,107.5,31.2,72.4,9.3,4,19.2,14.1,16.6,44.2,82,19,63,3971,96.8,107.5,-10.7,57.6,1.29,16,24.8,72.4,47.7,16.4,47.5,51,101.62,42.6,2013-2014,Philadelphia 76ers,51.3,11.75,11.14,25.53,0.28,10.91,12.6,8.48,10.25,12.78,14.7,2013-2014,REG,82
Phoenix Suns,82,48,34,48.2,103.8,31.7,73.7,8.4,4.6,16.9,14.3,14.1,45.5,82,48,34,3951,107.1,103.8,3.3,49.3,1.24,14.8,26.4,73.7,50.1,15.6,51.9,55.8,98.16,50.9,2013-2014,Phoenix Suns,40.23,15.46,14.31,29.77,0.23,12.6,11.72,10.47,9.49,14.44,13.59,2013-2014,REG,82
Portland Trail Blazers,82,54,28,48.4,104.7,34,74.7,5.5,4.7,15.6,14,13.3,45.6,82,54,28,3971,108.3,104.7,3.5,59.4,1.69,17.3,28,74.7,51.6,13.9,50.4,54.8,97.48,52.4,2013-2014,Portland Trail Blazers,36.09,14.1,20.75,28.89,0.17,13.4,11.53,11.52,9.83,14.94,12.94,2013-2014,REG,82
Sacramento Kings,82,28,54,48.4,106.3,32.4,76.6,7.2,3.9,17.1,11.9,15.3,41.9,82,28,54,3966,102.9,106.3,-3.4,51.1,1.24,14.7,27.8,76.6,51.9,15.6,48.4,53.2,96.75,47.3,2013-2014,Sacramento Kings,44.99,14.44,18.77,21.64,0.16,11.78,12.78,9.67,10.63,13.49,14.62,2013-2014,REG,82
San Antonio Spurs,82,62,20,48.2,100.1,34,76.4,7.4,5.1,16.3,12.7,12.8,42.2,82,62,20,3951,108.2,100.1,8.1,62.1,1.75,19.1,22.7,76.4,50.6,14.8,53.7,57.1,97.07,55.5,2013-2014,San Antonio Spurs,43.3,12.98,18.06,25.46,0.2,12.08,11.94,10.11,10.11,13.94,13.39,2013-2014,REG,82
Toronto Raptors,82,48,34,48.7,102.4,31.1,74.9,7,4.2,16.8,13.1,12.1,42.9,82,48,34,3991,105.8,102.4,3.5,58.1,1.5,16.5,27.2,74.9,50.9,14.8,49.8,54.5,94.42,51.2,2013-2014,Toronto Raptors,39.35,14.1,18.03,28.31,0.21,13.07,11.73,11.17,9.73,14.6,13.37,2013-2014,REG,82
Utah Jazz,82,25,57,48.2,109.1,30.2,74.5,7,4.5,17.4,12.3,15.6,45.8,82,25,57,3956,100.6,109.1,-8.4,56.4,1.39,16.1,25.5,74.5,49.2,15.5,48.4,52.3,93.57,45.1,2013-2014,Utah Jazz,41.94,14.5,19.88,23.31,0.38,12.24,11.74,9.94,9.66,14.07,13.6,2013-2014,REG,82
Washington Wizards,82,44,38,48.9,102.4,31.4,75.7,8.1,4.6,16.8,12.9,12.3,41.9,82,44,38,4011,103.3,102.4,0.9,60.1,1.59,17.7,25.2,75.7,50,15.1,50.6,53.8,95.45,50.4,2013-2014,Washington Wizards,38.8,14.54,22.04,24.41,0.2,12.73,12.61,10.51,10.27,14.61,14.6,2013-2014,REG,82
Atlanta Hawks,82,44,38,48.4,101.8,31.6,73.6,8.1,4.5,16.7,13.2,12,41,82,44,38,3971,102.7,101.8,0.9,65.1,1.65,19,22.2,73.6,48.3,15.6,51.7,54.6,94.72,50.9,2012-2013,Atlanta Hawks,40.43,10.19,20.77,28.42,0.2,12.95,12.26,10.6,10.51,14.98,13.7,2012-2013,REG,82
Boston Celtics,81,41,40,49,100.4,31.3,73.3,8.2,4.5,16.9,14.3,12.1,42.7,81,41,40,3968,101.1,100.4,0.7,61.4,1.56,18,20.1,73.3,47.5,15.3,50.3,54.2,93.98,50.7,2012-2013,Boston Celtics,38.49,16.1,23.88,21.15,0.37,12.39,11.85,10.63,9.45,13.92,13.74,2012-2013,REG,81
Brooklyn Nets,82,49,33,48.4,103.6,30,73.7,7.3,4.8,16.9,12.4,13.9,43.4,82,49,33,3971,105,103.6,1.4,56.7,1.38,16.2,30.9,73.7,52.2,15.9,49.8,53.6,91.23,50.9,2012-2013,Brooklyn Nets,43.28,14.49,15.36,26.66,0.2,12.16,11.87,10.23,9.86,13.73,13.62,2012-2013,REG,82
Charlotte Bobcats,82,21,61,48.3,108.9,29.1,71.1,7.2,5.8,17,14,13.8,43.9,82,21,61,3961,98.3,108.9,-10.6,56.2,1.38,15.4,25.7,71.1,47.8,14.8,46,50.7,94.03,43.8,2012-2013,Charlotte Bobcats,43,14.78,21.18,20.77,0.27,11.71,12.07,9.74,10,13.16,13.92,2012-2013,REG,82
Chicago Bulls,82,45,37,48.4,100.3,30.7,73.6,7.2,5.1,15.4,12.7,13.1,39.3,82,45,37,3966,100.4,100.3,0.1,64.5,1.61,17.9,29.4,73.6,51.2,15.4,47,51.2,91.97,51.4,2012-2013,Chicago Bulls,41.68,16.84,22.59,18.63,0.25,11.73,12.12,9.75,10.04,13.27,13.77,2012-2013,REG,82
Cleveland Cavaliers,82,24,58,48.1,106.9,28.8,72.6,7.9,4.1,16.2,13.7,13.1,42.5,82,24,58,3946,100.8,106.9,-6.1,56.6,1.47,16.1,28.1,72.6,49.3,14.6,47.3,51.4,94.95,45,2012-2013,Cleveland Cavaliers,42.5,15.82,18.77,22.74,0.17,11.89,12.13,10.18,9.9,13.19,14.16,2012-2013,REG,82
Dallas Mavericks,82,41,41,48.7,104,32.6,73.1,7.9,5.5,17.1,13.6,14,41.1,82,41,41,3996,103.6,104,-0.4,59.9,1.67,17.9,21.8,73.1,47.9,14.3,50.6,54.4,96.25,50.2,2012-2013,Dallas Mavericks,37.74,20.43,18.2,23.33,0.3,12.55,12.28,10.81,10.33,14.04,13.84,2012-2013,REG,82
Denver Nuggets,82,57,25,48.5,102,31.7,71.8,9.3,6.5,17.3,14.9,12.2,40.7,82,57,25,3981,107.6,102,5.6,60,1.6,17.9,31.4,71.8,52,15.5,51.5,54.9,97.76,53.8,2012-2013,Denver Nuggets,55.74,11.02,11.53,21.37,0.34,9.86,12.37,7.27,10.71,12.24,13.7,2012-2013,REG,82
Detroit Pistons,82,29,53,48.3,105.6,30,73,7,4.9,17.8,13.5,13.5,42.9,82,29,53,3961,100.9,105.6,-4.8,58.5,1.4,16.7,28.3,73,50.2,16.1,48.7,52.1,93.21,46.7,2012-2013,Detroit Pistons,51.3,10.09,16.9,21.41,0.3,10.61,12.02,8.45,9.67,12.38,14.02,2012-2013,REG,82
Golden State Warriors,82,47,35,48.3,102.6,34.2,75.5,6.9,4.2,17.3,13.9,13.8,40.4,82,47,35,3961,104.2,102.6,1.7,58.9,1.49,17.3,25.4,75.5,51.3,15.5,50.6,54.5,96.81,50.2,2012-2013,Golden State Warriors,37.11,16.15,22.88,23.55,0.31,13,13.14,11.51,10.93,14.27,14.87,2012-2013,REG,82
Houston Rockets,82,45,37,48.2,103.5,32.3,75.2,8.3,4.4,18.4,12.6,14.2,41.9,82,45,37,3956,106.7,103.5,3.3,60.9,1.41,17.4,26.4,75.2,51,16.6,52.5,56.4,98.64,51,2012-2013,Houston Rockets,47.18,7.34,10.56,34.74,0.18,12.3,12.71,9.84,10.65,14.41,14.43,2012-2013,REG,82
Indiana Pacers,81,49,32,48.4,96.6,33,74.6,7.2,6.3,16,13,10.1,35.5,81,49,32,3918,101.6,96.6,5,57.8,1.34,16.1,30.3,74.6,52.9,16.2,47.9,52.1,92.84,53.7,2012-2013,Indiana Pacers,42.18,15.53,17.8,24.13,0.37,12.23,12.32,10.11,10.76,13.88,13.45,2012-2013,REG,81
Los Angeles Clippers,82,56,26,48.1,101,30.2,73.5,9.6,5.6,16,13,12.3,37.2,82,56,26,3946,107.7,101,6.7,62,1.64,18.5,28.8,73.5,51.6,15.6,52.6,55.7,93.56,54.8,2012-2013,Los Angeles Clippers,42.63,11.38,19.5,26.32,0.17,12.53,12.82,10.07,10.87,14.78,14.37,2012-2013,REG,82
Los Angeles Lakers,82,45,37,48.2,103.6,33.3,74.3,7,5.2,16.7,13.8,15.9,44.1,82,45,37,3951,105.6,103.6,2,59.8,1.48,17,27,74.3,51.2,15.5,51.2,54.8,96.78,51.3,2012-2013,Los Angeles Lakers,42.37,11.6,15.74,29.99,0.3,12.84,12.39,10.56,10.24,14.76,14.18,2012-2013,REG,82
Memphis Grizzlies,82,56,26,48.3,97.4,29.8,74.3,8.6,5.3,14.9,11.9,12.4,38,82,56,26,3961,101.7,97.4,4.2,57.9,1.5,16.6,31,74.3,52.2,15.2,47.2,51.4,91.15,53.1,2012-2013,Memphis Grizzlies,45.59,16.87,20.96,16.38,0.19,11.04,12.26,9.38,10.01,12.36,13.99,2012-2013,REG,82
Miami Heat,82,66,16,48.5,100.5,30.4,73,8.7,5.4,15.7,14.7,11.9,39.9,82,66,16,3976,110.3,100.5,9.9,60,1.65,18.5,22.2,73,49,15,55.2,58.8,92.97,56.4,2012-2013,Miami Heat,38.83,13.55,19.15,28.3,0.17,12.72,12.33,10.52,10.24,14.89,13.97,2012-2013,REG,82
Milwaukee Bucks,82,38,44,48.4,102.3,30.9,71.3,8.4,6.7,16.8,14.6,15.1,46.2,82,38,44,3966,100.9,102.3,-1.4,60,1.62,17.1,27.9,71.3,48.8,14.4,47.6,51,97.32,48.8,2012-2013,Milwaukee Bucks,43.65,14.88,18.26,23.08,0.13,11.72,10.97,9.83,8.99,13.18,12.63,2012-2013,REG,82
Minnesota Timberwolves,82,31,51,48.1,102.9,30.2,74,8.5,4.7,16.5,12.7,14,42.3,82,31,51,3946,100.1,102.9,-2.8,62.4,1.51,17.2,27.4,74,49.9,15.5,47.3,51.6,95.22,49.4,2012-2013,Minnesota Timberwolves,44.15,11.19,22.62,21.86,0.18,11.81,12.35,9.44,10.05,13.66,14.36,2012-2013,REG,82
New Orleans Hornets,82,27,55,48.2,107.6,29.6,74.4,6.3,5.4,17.3,12.8,13.2,43.2,82,27,55,3956,102.7,107.6,-5,58.2,1.44,16.8,29.2,74.4,51.4,15.9,48.9,52.8,90.86,46.4,2012-2013,New Orleans Hornets,46.29,13.84,17.5,22.11,0.26,11.59,11.78,9.77,9.83,13.08,13.51,2012-2013,REG,82
New York Knicks,82,54,28,48.1,103.5,29.7,74.7,8.2,3.6,13.5,12.4,12.1,39.7,82,54,28,3946,108.6,103.5,5.1,52.7,1.6,15.8,25.6,74.7,49.3,13.1,51.5,55,92.03,51.2,2012-2013,New York Knicks,35.73,10.09,18.7,34.98,0.49,14.15,12.6,12.1,10.25,15.82,14.59,2012-2013,REG,82
Oklahoma City Thunder,82,60,22,48.4,99.2,33.2,73.4,8.3,7.6,16.7,13.6,12.5,40.7,82,60,22,3966,110.2,99.2,11,56.1,1.4,16.7,26.7,73.4,51.7,15.9,52.7,58,95.89,57,2012-2013,Oklahoma City Thunder,40.32,16.7,18.56,24.2,0.22,12.11,12.06,9.98,10.05,14.08,13.55,2012-2013,REG,82
Orlando Magic,82,20,62,48.2,106.7,31.9,74.6,6.4,4.4,16.8,12.7,12.6,42.8,82,20,62,3956,98.9,106.7,-7.8,60.5,1.57,17.7,25.4,74.6,50,15.3,48.5,51.4,94.48,45.9,2012-2013,Orlando Magic,41.85,15.3,20.6,22.15,0.12,12.09,12.42,9.83,10.33,13.93,14.23,2012-2013,REG,82
Philadelphia 76ers,82,34,48,48.2,103,30.4,73.4,7.4,4.7,14.5,12.2,12.5,40.2,82,34,48,3951,99.5,103,-3.4,61,1.74,17.9,24.9,73.4,48.4,13.9,48.1,50.9,93.31,47.4,2012-2013,Philadelphia 76ers,38.47,17.84,22.85,20.67,0.17,12.25,12.19,10.43,10.16,13.71,13.89,2012-2013,REG,82
Phoenix Suns,82,25,57,48.3,105.7,29.9,71.9,8,5.3,18.6,13.5,14.9,45.6,82,25,57,3961,98.2,105.7,-7.5,60.6,1.45,17.2,27,71.9,49,16.1,47.7,51.2,95.95,45.8,2012-2013,Phoenix Suns,40.03,15.25,23.68,20.79,0.25,12.25,11.45,10.06,9.68,13.98,13.02,2012-2013,REG,82
Portland Trail Blazers,82,33,49,48.4,106.9,30.2,73.3,6.6,4.3,17.2,13.4,14.6,47.4,82,33,49,3971,102.7,106.9,-4.2,59.3,1.48,17.1,25.3,73.3,49,15.5,49.8,53.6,93.72,46.8,2012-2013,Portland Trail Blazers,37.99,12.54,21.14,28.11,0.22,13.12,11.52,10.92,9.2,14.9,13.61,2012-2013,REG,82
Sacramento Kings,82,28,54,48.4,108.6,29.1,71,8.2,4.2,17.6,14.2,16.7,45.2,82,28,54,3966,103,108.6,-5.6,55.3,1.42,16.1,26.6,71,48.2,15,49.1,53.2,96.34,45.4,2012-2013,Sacramento Kings,47.03,11.43,17.19,24.09,0.26,11.72,12.28,9.62,9.89,13.43,14.42,2012-2013,REG,82
San Antonio Spurs,82,58,24,48.5,99.2,33.2,74.9,8.5,5.4,16.4,12.5,14.2,40,82,58,24,3976,105.9,99.2,6.8,64.1,1.71,19.2,20.5,74.9,49.3,15.1,53.1,56.8,96.36,55.1,2012-2013,San Antonio Spurs,43.75,13.56,16.27,26.19,0.22,11.98,11.91,9.93,10.25,13.88,13.22,2012-2013,REG,82
Toronto Raptors,82,34,48,48.7,104.7,29.6,73.4,7.3,4.8,15.5,13.2,11.9,42.5,82,34,48,3996,102.9,104.7,-1.7,59.2,1.57,17,25.5,73.4,49.1,14.5,48.8,53.2,92.94,48.4,2012-2013,Toronto Raptors,37.76,15.41,21.94,24.74,0.15,13.03,11.76,10.76,9.63,14.86,13.57,2012-2013,REG,82
