Team,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Opp. Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Opp. Made Avg. Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.),Opp. Missed Avg. Shot Dis.(ft.),Season,Season Type,Match Count
Detroit Pistons,39.83,19.2,22.95,17.77,0.24,11.46,12.13,9.38,10.03,13.12,14.07,2009-2010,REG,82
Golden State Warriors,38.07,12.53,25.61,23.5,0.28,12.86,11.51,10.73,9.42,14.73,13.48,2009-2010,REG,82
Houston Rockets,43.52,13.47,16.47,26.28,0.26,11.65,11.52,9.58,9.32,13.33,13.51,2009-2010,REG,82
Indiana Pacers,38.18,13.17,20.89,27.55,0.22,12.99,12.26,10.85,10.49,14.69,13.72,2009-2010,REG,82
Los Angeles Clippers,41.87,15.22,20.8,21.77,0.34,11.69,11.81,9.22,9.71,13.75,13.68,2009-2010,REG,82
Los Angeles Lakers,41.6,16.61,19.05,22.43,0.31,11.78,12.11,9.69,9.83,13.55,13.95,2009-2010,REG,82
Memphis Grizzlies,48.42,16.41,20.33,14.39,0.45,10.13,11.51,8.01,9.06,12.01,13.75,2009-2010,REG,82
Miami Heat,34.34,18.21,25.58,21.66,0.21,12.67,12.25,10.4,10.23,14.58,13.83,2009-2010,REG,82
Milwaukee Bucks,38.19,14.93,21.01,25.72,0.15,12.59,11.61,10.88,9.57,13.91,13.29,2009-2010,REG,82
Minnesota Timberwolves,42.11,19.98,20.82,16.69,0.39,11.07,12.31,8.94,9.88,12.8,14.55,2009-2010,REG,82
New Jersey Nets,42.58,16.62,22.67,17.92,0.22,11.03,10.94,8.9,8.87,12.63,12.84,2009-2010,REG,82
New Orleans Hornets,39.3,17.3,20.42,22.83,0.15,11.96,11.72,9.95,9.34,13.7,13.95,2009-2010,REG,82
New York Knicks,39.35,9.14,20.17,31.05,0.29,13.06,11.64,10.52,9.33,15.18,13.82,2009-2010,REG,82
Oklahoma City Thunder,42.57,16.61,22.27,18.45,0.11,11.11,10.95,8.99,8.66,12.93,12.79,2009-2010,REG,82
Orlando Magic,38.52,12.03,14.4,34.64,0.41,13.29,12.35,10.86,10.61,15.43,13.71,2009-2010,REG,82
Philadelphia 76ers,39.52,18.95,20.84,20.3,0.39,11.75,11.61,9.56,9.68,13.62,13.33,2009-2010,REG,82
Phoenix Suns,40.05,15.28,18.57,25.85,0.25,12.13,11.88,10.28,9.94,13.92,13.47,2009-2010,REG,82
Portland Trailblazers,35.55,17.45,25.49,21.04,0.46,12.52,11.77,10.34,9.37,14.39,13.86,2009-2010,REG,82
Sacramento Kings,45.1,12.9,21.96,19.8,0.25,11.21,11.39,9.11,9.22,12.97,13.29,2009-2010,REG,82
San Antonio Spurs,42.17,14.36,20.26,23.01,0.2,11.76,11.38,9.52,9.56,13.76,12.89,2009-2010,REG,82
Toronto Raptors,40.58,14.54,23.81,20.45,0.62,12.22,12,10.01,9.97,14.28,13.78,2009-2010,REG,82
Utah Jazz,47.53,12.11,22.01,18.14,0.21,10.57,12.02,8.36,9.71,12.71,13.9,2009-2010,REG,82
Washington Wizards,38.91,15.42,27.39,18.03,0.25,12.15,12.06,10.36,9.84,13.61,13.97,2009-2010,REG,82
Atlanta Hawks,38.22,14.58,21.93,24.96,0.31,12.84,12.4,10.62,10.22,14.72,14.21,2008-2009,REG,82
Boston Celtics,42.35,14.01,22.26,21.27,0.11,11.66,12.34,9.86,10.18,13.37,13.98,2008-2009,REG,82
Charlotte Bobcats,45.5,11.37,21.89,20.84,0.4,11.23,12.07,9.43,10.19,12.72,13.64,2008-2009,REG,82
Chicago Bulls,38.75,13.12,29.34,18.51,0.28,12.06,11.48,10.44,9.39,13.42,13.24,2008-2009,REG,82
Cleveland Cavaliers,34.91,13.09,26.17,25.66,0.17,13.32,12.02,11.35,9.83,15.05,13.69,2008-2009,REG,82
Dallas Mavericks,32.79,18.97,24.15,23.83,0.27,13,12.09,11.26,10.34,14.5,13.54,2008-2009,REG,82
Denver Nuggets,44.72,11.03,21.58,22.32,0.35,11.44,12.26,9.14,10.35,13.48,13.77,2008-2009,REG,82
Detroit Pistons,33.59,19.37,30.49,16.35,0.2,12.34,11.96,10.52,9.84,13.86,13.7,2008-2009,REG,82
Golden State Warriors,42.03,11.88,25.18,20.58,0.33,12.14,11.23,10.15,9.45,13.82,12.79,2008-2009,REG,82
Houston Rockets,41.9,16.12,16.58,24.93,0.46,11.96,12.09,10.15,10.34,13.47,13.48,2008-2009,REG,82
Indiana Pacers,39.82,13.49,22.37,24.07,0.25,12.46,12.69,10.7,10.95,13.93,14.16,2008-2009,REG,82
Los Angeles Clippers,42.39,13.22,21.78,22.11,0.51,11.89,11.49,9.72,9.54,13.6,13.24,2008-2009,REG,82
Los Angeles Lakers,42.33,16.38,19.6,21.45,0.23,11.52,12.08,9.49,9.79,13.35,13.93,2008-2009,REG,82
Memphis Grizzlies,44.84,14.98,22.69,17.26,0.22,11.02,12.04,9.42,9.74,12.35,14.1,2008-2009,REG,82
Miami Heat,35.73,15.06,24.77,24.06,0.38,12.88,11.9,10.78,10.04,14.65,13.44,2008-2009,REG,82
Milwaukee Bucks,38.55,16.41,24.18,20.7,0.16,12.05,12.13,10.29,10.08,13.46,13.86,2008-2009,REG,82
Minnesota Timberwolves,43.04,14.59,19.64,22.41,0.33,11.58,12.24,9.58,10.37,13.16,13.93,2008-2009,REG,82
New Jersey Nets,38.61,13.34,21.56,26.3,0.18,12.45,12.14,10.49,10.21,14.04,13.8,2008-2009,REG,82
New Orleans Hornets,36.03,18.65,21.36,23.81,0.14,12.43,12.65,10.48,10.45,14.08,14.47,2008-2009,REG,82
New York Knicks,41.59,10.9,15.41,31.76,0.34,12.5,11.78,10.31,9.67,14.25,13.72,2008-2009,REG,82
Oklahoma City Thunder,43.71,17.37,24.69,14.02,0.21,10.7,10.97,8.64,9.22,12.36,12.57,2008-2009,REG,82
Orlando Magic,36.74,14.34,15.51,33.21,0.2,13.21,12.38,11.09,10.67,14.99,13.68,2008-2009,REG,82
Philadelphia 76ers,45.6,17.61,20.38,16.08,0.34,10.44,12.01,8.16,9.99,12.37,13.74,2008-2009,REG,82
Phoenix Suns,47.19,15.49,15.79,21.2,0.33,10.61,12.76,8.41,10.99,12.85,14.31,2008-2009,REG,82
Portland Trailblazers,38.19,14.82,23.08,23.42,0.5,12.4,11.7,10.41,9.97,14.12,13.17,2008-2009,REG,82
Sacramento Kings,39.49,13.68,22.99,23.52,0.3,12.37,11.27,10.54,9.4,13.86,13.03,2008-2009,REG,82
San Antonio Spurs,36.37,13.96,25.42,24.01,0.24,12.97,11.85,11.31,10.56,14.43,12.94,2008-2009,REG,82
Toronto Raptors,33.45,17.83,29.45,19,0.27,12.72,12.46,11.14,10.35,14.05,14.3,2008-2009,REG,82
Utah Jazz,45.06,12.07,26.01,16.63,0.23,10.87,11.53,8.78,9.31,12.76,13.44,2008-2009,REG,82
Washington Wizards,42.81,14.95,24.27,17.82,0.15,11.45,12.58,9.34,10.55,13.18,14.47,2008-2009,REG,82
Atlanta Hawks,43.25,14.27,26.08,16.04,0.35,11.17,11.54,9.05,9.5,12.94,13.3,2007-2008,REG,82
Boston Celtics,41,13.09,21.01,24.61,0.29,12.24,12.91,10.45,10.52,13.86,14.64,2007-2008,REG,82
Charlotte Bobcats,41.75,13.37,22.89,21.85,0.15,11.69,11.67,9.74,9.47,13.31,13.59,2007-2008,REG,82
Chicago Bulls,37.25,15.6,28.16,18.74,0.25,12.21,12.49,10.78,10.81,13.32,13.88,2007-2008,REG,82
Cleveland Cavaliers,38.83,14.33,23.81,22.84,0.2,12.28,12.08,10.07,10.2,13.99,13.65,2007-2008,REG,82
Dallas Mavericks,33.36,20.65,24.38,21.22,0.39,12.72,11.64,10.96,9.66,14.24,13.22,2007-2008,REG,82
Denver Nuggets,43.14,13.27,20.82,22.26,0.51,11.55,12.34,9.15,10.37,13.68,14,2007-2008,REG,82
Detroit Pistons,31.49,18.7,29.52,20.04,0.24,13.12,12.13,11.34,10.03,14.63,13.77,2007-2008,REG,82
Golden State Warriors,44.52,8.93,17.22,28.97,0.36,12.31,11.82,9.72,9.84,14.52,13.55,2007-2008,REG,82
Houston Rockets,39.38,14.54,20.63,25.19,0.25,12.32,12.03,10.15,10.49,14.08,13.2,2007-2008,REG,82
Indiana Pacers,35.15,14.37,21.64,28.54,0.3,13.54,12.71,11.59,11.21,15.1,13.96,2007-2008,REG,82
Los Angeles Clippers,34.77,19.4,29.06,16.5,0.27,12.48,11.53,10.53,9.41,14,13.37,2007-2008,REG,82
Los Angeles Lakers,40.89,12.13,21.3,25.45,0.23,12.25,11.9,10.08,10.07,14.22,13.37,2007-2008,REG,82
Memphis Grizzlies,42.66,13.2,17.74,25.87,0.53,12.1,12.26,9.71,10.01,14.08,14.33,2007-2008,REG,82
Miami Heat,34.88,14.03,29.45,21.35,0.28,12.99,12.45,10.97,10.35,14.59,14.3,2007-2008,REG,82
Milwaukee Bucks,43.85,15.76,20.99,19.18,0.21,11.22,11.87,9.54,9.91,12.59,13.67,2007-2008,REG,82
Minnesota Timberwolves,43.68,17.28,20.66,17.91,0.47,11.24,12.4,9.29,10.17,12.83,14.4,2007-2008,REG,82
New Jersey Nets,41.01,11.22,25.58,21.74,0.45,12.06,12.2,10.07,10.46,13.65,13.66,2007-2008,REG,82
New Orleans Hornets,37.49,15.95,22.73,23.66,0.16,12.39,12.57,10.62,10.29,13.93,14.51,2007-2008,REG,82
New York Knicks,45.26,13.7,19.49,21.2,0.36,11.19,12.41,9.25,10.29,12.7,14.32,2007-2008,REG,82
Seattle SuperSonics,40,19.01,27.66,13.25,0.09,11.28,11.66,9.61,9.95,12.62,13.13,2007-2008,REG,82
Orlando Magic,41.13,13.56,13.17,31.83,0.31,12.42,12.62,10.2,10.74,14.43,14.14,2007-2008,REG,82
Philadelphia 76ers,43.73,19.32,22.6,13.86,0.5,10.6,11.68,8.23,9.67,12.61,13.41,2007-2008,REG,82
Phoenix Suns,38.28,14.58,21.22,25.81,0.12,12.36,11.63,10.27,9.85,14.46,13.12,2007-2008,REG,82
Portland Trailblazers,30.19,16.87,31.19,21.21,0.55,13.75,11.98,12.13,9.87,15.06,13.72,2007-2008,REG,82
Sacramento Kings,42.06,13.19,23.91,20.68,0.17,11.68,12.27,9.9,10.14,13.21,14.12,2007-2008,REG,82
San Antonio Spurs,36.41,15.78,22.99,24.62,0.21,12.82,12.2,10.94,10.34,14.41,13.68,2007-2008,REG,82
Toronto Raptors,32.7,14.2,31.42,21.38,0.3,13.19,12.7,11.54,10.59,14.64,14.48,2007-2008,REG,82
Utah Jazz,44.86,12.39,26.33,16.12,0.29,10.89,12.06,8.79,9.79,12.96,13.99,2007-2008,REG,82
Washington Wizards,39.24,13.64,23.05,23.91,0.16,12.59,12.88,10.4,10.87,14.36,14.61,2007-2008,REG,82
Atlanta Hawks,42.67,11.66,29.43,16.07,0.17,11.36,10.83,9.38,9.03,12.95,12.41,2006-2007,REG,82
Boston Celtics,43.43,13.67,23.04,19.57,0.29,11.61,11.27,9.87,9.3,13,13.01,2006-2007,REG,82
Charlotte Bobcats,42.98,12.86,24.96,19,0.21,11.41,11,9.64,9.03,12.83,12.72,2006-2007,REG,82
Chicago Bulls,36.92,15.04,29.51,18.27,0.27,12.32,12.17,10.97,10.32,13.45,13.59,2006-2007,REG,82
Cleveland Cavaliers,41.46,16.05,21.46,20.78,0.24,11.65,11.7,9.46,9.47,13.42,13.52,2006-2007,REG,82
Dallas Mavericks,34.28,19.37,24.62,21.44,0.29,12.62,11.38,11.04,9.62,14.01,12.81,2006-2007,REG,82
Denver Nuggets,45.17,12.3,21.41,20.81,0.31,11.12,11.8,8.52,9.55,13.39,13.71,2006-2007,REG,82
Detroit Pistons,36.17,22.1,21.62,19.9,0.22,11.99,11.41,10.15,9.46,13.52,12.97,2006-2007,REG,82
Golden State Warriors,45.4,9.49,17.21,27.62,0.27,11.93,11.95,9.47,9.86,14.05,13.75,2006-2007,REG,82
Houston Rockets,37.64,14.86,18.55,28.81,0.14,12.85,12.65,11.11,11.05,14.25,13.85,2006-2007,REG,82
Indiana Pacers,38.59,18.85,21.33,20.92,0.31,12.14,11.5,10.31,9.93,13.57,12.82,2006-2007,REG,82
Los Angeles Clippers,35.94,24.28,25.45,14.02,0.3,11.82,11.63,9.96,9.65,13.38,13.26,2006-2007,REG,82
Los Angeles Lakers,42.04,12.38,19.68,25.58,0.32,12.09,11.39,9.87,9.3,14.03,13.17,2006-2007,REG,82
Memphis Grizzlies,45.26,13.17,20.62,20.6,0.35,11.38,11.55,9.42,9.58,13.08,13.41,2006-2007,REG,82
Miami Heat,41.48,12.99,21.15,24.11,0.27,12.07,12.59,9.62,10.72,14.19,14.08,2006-2007,REG,82
Milwaukee Bucks,46.22,13.61,18.29,21.73,0.15,11.05,11.87,8.93,9.49,12.89,14.06,2006-2007,REG,82
Minnesota Timberwolves,35.9,16.93,30.45,16.24,0.48,12.41,12.05,10.63,9.78,13.94,13.98,2006-2007,REG,82
New Jersey Nets,39.93,9.86,23.98,26.02,0.2,12.49,12.48,10.49,10.53,14.17,14.06,2006-2007,REG,82
New Orleans Hornets,44.2,15.4,21.61,18.65,0.13,11.14,12.24,9.23,10.29,12.67,13.89,2006-2007,REG,82
New York Knicks,50.13,10.29,18.08,21.18,0.33,10.52,12.34,8.11,10.47,12.54,13.94,2006-2007,REG,82
Orlando Magic,46.95,14.88,22.49,15.55,0.13,10.4,12.27,8.19,10.4,12.37,13.74,2006-2007,REG,82
Philadelphia 76ers,40.39,20.63,26.15,12.52,0.31,11.02,11.73,9.04,9.55,12.69,13.6,2006-2007,REG,82
Phoenix Suns,37.6,13.67,20.11,28.39,0.24,12.75,12.11,10.41,10.04,15.02,13.85,2006-2007,REG,82
Portland Trailblazers,42.48,12.85,25.36,18.82,0.5,11.81,11.24,9.88,9.17,13.39,13.1,2006-2007,REG,82
Sacramento Kings,40.19,11.11,25.54,23.03,0.14,12.33,12.19,10.36,10.02,13.95,14.13,2006-2007,REG,82
San Antonio Spurs,40.81,14.32,20.49,24.22,0.16,12.19,11.14,10.09,9.51,14.08,12.43,2006-2007,REG,82
Seattle SuperSonics,42.92,18.13,17.04,21.66,0.26,11.47,11.67,9.48,9.29,13.17,13.82,2006-2007,REG,82
Toronto Raptors,35.02,15.3,27.33,22.1,0.24,12.78,12.15,10.93,10.02,14.38,13.99,2006-2007,REG,82
Utah Jazz,43.95,14,25.76,16.06,0.23,11.03,12.12,9.02,9.82,12.84,14.04,2006-2007,REG,82
Washington Wizards,39.1,10.31,26.88,23.48,0.22,12.76,12.12,10.6,10.14,14.53,13.89,2006-2007,REG,82
Atlanta Hawks,45.15,14.04,23.03,17.53,0.25,11,10.76,9.27,8.87,12.43,12.5,2005-2006,REG,82
Boston Celtics,43.57,13.33,22.71,20.11,0.29,11.55,11.43,9.76,9.55,13.12,12.99,2005-2006,REG,82
Charlotte Bobcats,41.58,13.93,26.09,18.05,0.34,11.56,11.13,9.48,9.07,13.15,13.02,2005-2006,REG,82
Chicago Bulls,37.01,14.1,26.97,21.64,0.28,12.65,12.81,11.12,10.94,13.88,14.2,2005-2006,REG,82
Cleveland Cavaliers,43.89,13.55,19.71,22.57,0.28,11.49,12.01,9.15,10.27,13.44,13.46,2005-2006,REG,82
Dallas Mavericks,38.6,22.13,21.8,17.1,0.36,11.49,11.53,10.16,9.89,12.63,12.83,2005-2006,REG,82
Denver Nuggets,43.23,12.66,28,15.77,0.34,11.06,12.07,8.78,9.94,13.02,13.84,2005-2006,REG,82
Detroit Pistons,32.36,20.65,24.84,22.06,0.09,12.82,11.01,11.09,8.98,14.26,12.68,2005-2006,REG,82
Golden State Warriors,41.3,10.57,21.19,26.72,0.22,12.67,11.95,10.39,9.78,14.42,13.78,2005-2006,REG,82
Houston Rockets,38.66,16.28,22.52,22.36,0.18,12.23,13.07,10.22,11.47,13.77,14.28,2005-2006,REG,82
Indiana Pacers,38.57,17.11,19.84,24.21,0.27,12.44,11.31,10.37,9.71,14.09,12.55,2005-2006,REG,82
Los Angeles Clippers,37.09,25.74,24.2,12.7,0.27,11.49,11.56,9.89,9.74,12.88,12.96,2005-2006,REG,82
Los Angeles Lakers,39.34,13.85,22.84,23.7,0.27,12.45,11.81,10.28,9.79,14.24,13.46,2005-2006,REG,82
Memphis Grizzlies,44.62,11.87,17.8,25.53,0.18,11.66,11.53,9.7,9.54,13.25,13.06,2005-2006,REG,82
Miami Heat,46.51,13.17,17.69,22.31,0.31,11.04,12.36,8.45,10.65,13.41,13.7,2005-2006,REG,82
Milwaukee Bucks,44.87,15.63,19.19,20.26,0.06,11.07,11.77,9.49,9.55,12.37,13.71,2005-2006,REG,82
Minnesota Timberwolves,37.22,17.56,30.41,14.46,0.35,12.08,11.18,10.13,9.29,13.72,12.66,2005-2006,REG,82
New Jersey Nets,38.55,12.93,25.71,22.49,0.32,12.53,12.18,10.69,10.31,13.98,13.65,2005-2006,REG,82
New Orleans Hornets,43.12,16.43,26.68,13.6,0.17,10.85,12.36,9.26,10.37,12.1,14.04,2005-2006,REG,82
New York Knicks,50.23,15.06,20.61,13.78,0.31,9.74,12.51,7.99,10.38,11.2,14.38,2005-2006,REG,82
Seattle SuperSonics,41.07,16.23,18.43,23.92,0.36,12.15,11.78,10.32,9.73,13.69,13.72,2005-2006,REG,82
Orlando Magic,45.18,16.08,25.81,12.72,0.21,10.56,11.91,8.96,9.92,11.99,13.57,2005-2006,REG,82
Philadelphia 76ers,43.37,18.9,22.03,15.54,0.17,10.71,11.65,8.97,9.65,12.18,13.36,2005-2006,REG,82
Phoenix Suns,30.78,13.8,26.17,29.06,0.18,14.01,12.29,12.03,10.41,15.82,13.86,2005-2006,REG,82
Portland Trailblazers,42.64,12.57,28.25,16.2,0.34,11.55,11.56,9.62,10.01,13.1,12.92,2005-2006,REG,82
Sacramento Kings,37.52,9.37,31.38,21.51,0.22,12.9,11.99,10.64,9.94,14.78,13.7,2005-2006,REG,82
San Antonio Spurs,44.07,15.04,19.49,21.22,0.17,11.42,10.48,9.45,8.88,13.19,11.71,2005-2006,REG,82
Toronto Raptors,36.99,17.25,21.42,24.08,0.26,12.49,11.5,10.88,9.47,13.83,13.46,2005-2006,REG,82
Utah Jazz,42.11,13.31,29.76,14.61,0.21,11.34,12.23,9.33,10.61,12.94,13.55,2005-2006,REG,82
Washington Wizards,42.02,12.33,24.73,20.73,0.18,12.15,11.94,10.04,9.89,13.86,13.72,2005-2006,REG,82
Atlanta Hawks,48.5,16.55,20.37,14.24,0.34,10.05,11.09,8.15,9.32,11.54,12.71,2004-2005,REG,82
Boston Celtics,45.56,13.99,21.24,18.95,0.25,10.96,11.63,9,9.63,12.69,13.23,2004-2005,REG,82
Charlotte Bobcats,38.97,18.84,29.39,12.67,0.13,11.38,11.05,9.87,9.25,12.52,12.6,2004-2005,REG,82
Chicago Bulls,39.49,17.4,21.44,21.51,0.17,11.94,12.31,10.28,10.49,13.2,13.64,2004-2005,REG,82
Cleveland Cavaliers,43.19,20.01,23.25,13.43,0.12,10.74,11.24,8.81,9.75,12.31,12.46,2004-2005,REG,82
Dallas Mavericks,38.39,18.29,24.18,18.8,0.33,11.92,11.52,10.15,9.41,13.42,13.17,2004-2005,REG,82
Denver Nuggets,43.93,14.48,27.39,13.85,0.35,10.77,11.92,8.36,9.79,12.82,13.64,2004-2005,REG,82
Detroit Pistons,39.92,22.33,21.49,16.1,0.16,11.08,11.8,9.28,9.93,12.51,13.21,2004-2005,REG,82
Golden State Warriors,38.41,11.62,24.75,25.06,0.16,12.92,11.44,10.93,9.66,14.42,12.95,2004-2005,REG,82
Houston Rockets,34.91,15.84,25.61,23.4,0.23,13.04,12.78,11.25,11.07,14.46,14.04,2004-2005,REG,82
Indiana Pacers,37.11,17.55,19.95,25.2,0.2,12.72,11.53,10.74,10.03,14.22,12.71,2004-2005,REG,82
Los Angeles Clippers,40.56,19.96,28.97,10.22,0.28,11.05,11.63,9.34,9.96,12.51,12.97,2004-2005,REG,82
Los Angeles Lakers,41.82,12.05,18.83,26.79,0.51,12.35,12.25,10.26,10.43,13.97,13.77,2004-2005,REG,82
Memphis Grizzlies,47.23,11.5,17.6,23.36,0.3,11.09,11.64,9.09,10.05,12.7,12.85,2004-2005,REG,82
Miami Heat,43.18,15.2,21.88,19.58,0.16,11.14,12.33,9.09,10.81,13.09,13.47,2004-2005,REG,82
Milwaukee Bucks,42.43,21.16,22.37,13.88,0.17,10.72,11.55,9.28,9.3,11.9,13.5,2004-2005,REG,82
Minnesota Timberwolves,32.01,22.3,28.44,17,0.24,12.79,11.59,11.18,9.79,14.16,12.99,2004-2005,REG,82
New Jersey Nets,36.43,15.11,29.8,18.39,0.27,12.53,12.37,11.1,10.95,13.61,13.48,2004-2005,REG,82
New Orleans Hornets,36.79,15.43,27.74,19.87,0.17,12.25,12.13,10.42,10.14,13.55,13.78,2004-2005,REG,82
New York Knicks,40.07,16.09,25.11,18.38,0.35,11.76,11.49,10,9.55,13.2,13.18,2004-2005,REG,82
Seattle SuperSonics,40.12,15.34,16.5,27.73,0.31,12.49,11.67,10.5,9.48,14.08,13.52,2004-2005,REG,82
Orlando Magic,40.14,18.61,27.61,13.51,0.14,11.24,11.48,9.44,9.6,12.74,13.03,2004-2005,REG,82
Philadelphia 76ers,41.32,15.89,21.26,21.39,0.14,11.65,12.6,9.66,10.59,13.2,14.2,2004-2005,REG,82
Phoenix Suns,37.08,16.81,17.28,28.44,0.38,12.61,12.02,10.54,9.9,14.5,13.71,2004-2005,REG,82
Portland Trailblazers,45.99,14.54,21.48,17.77,0.22,10.81,11.2,8.78,9.34,12.48,12.71,2004-2005,REG,82
Sacramento Kings,35.32,10.96,33.66,19.88,0.17,13.04,11.63,11.23,9.49,14.58,13.45,2004-2005,REG,82
San Antonio Spurs,44.91,16.25,17.35,21.29,0.2,11.19,10.69,9.16,9.28,12.87,11.73,2004-2005,REG,82
Toronto Raptors,37.44,16.7,20.71,24.86,0.29,12.51,11.26,11.02,9.41,13.7,12.89,2004-2005,REG,82
Utah Jazz,40.25,16.46,31.47,11.54,0.29,11.29,12.41,9.44,10.26,12.79,14.23,2004-2005,REG,82
Washington Wizards,41.88,15.46,20.64,21.77,0.25,12.07,12.06,9.99,10,13.69,13.82,2004-2005,REG,82
Atlanta Hawks,42.17,9.42,10.72,37.69,0,12.9,13.49,10.05,11.91,15.06,14.6,2015-2016,POFF,10
Boston Celtics,41.34,9.87,13.59,35.01,0.19,12.86,12.77,9.8,9.71,14.76,15.02,2015-2016,POFF,6
Charlotte Hornets,48.13,15.1,13.68,22.91,0.18,11.01,12.48,9.04,10.45,12.3,14.24,2015-2016,POFF,7
Cleveland Cavaliers,39.25,11.94,11.21,37.29,0.31,13.49,13.76,11.67,11.38,15.12,15.64,2015-2016,POFF,21
Dallas Mavericks,41.63,16.26,16.01,25.62,0.49,12.12,12.83,9.68,10.62,14,14.82,2015-2016,POFF,5
Detroit Pistons,44.19,15.61,9.3,30.56,0.33,12.14,14.44,9.93,13.01,14.17,15.67,2015-2016,POFF,4
Golden State Warriors,37.39,16.04,8.6,37.49,0.48,13.83,12.79,11.86,10.69,15.46,14.39,2015-2016,POFF,23
Houston Rockets,43.69,15.19,7.94,32.48,0.7,12.64,13.76,10.03,11.43,14.29,15.94,2015-2016,POFF,5
Indiana Pacers,40.46,12.98,18.13,28.24,0.19,12.69,12.78,11.5,10.35,13.63,14.35,2015-2016,POFF,7
Los Angeles Clippers,37.94,19.37,20.36,22.13,0.2,12.71,13.26,9.95,11.09,14.87,14.78,2015-2016,POFF,6
Memphis Grizzlies,47.69,10.77,21.85,19.08,0.62,11.19,12.55,9.77,10.93,12.12,14.08,2015-2016,POFF,4
Miami Heat,39.31,20.14,16.77,23.34,0.44,12.19,11.72,9.96,9.64,14.07,13.19,2015-2016,POFF,14
Oklahoma City Thunder,40.01,15.85,14.73,29.19,0.21,12.37,12.16,10.09,10.3,14.29,13.66,2015-2016,POFF,17
Portland Trailblazers,37.37,14.07,13.86,34.5,0.21,13.73,13.11,12.26,10.76,14.79,15.09,2015-2016,POFF,11
San Antonio Spurs,40.78,20.15,15.78,22.82,0.49,11.83,11.68,10.34,9.73,13.16,13.14,2015-2016,POFF,10
Toronto Raptors,38.39,15.54,17.81,28.13,0.12,12.96,12.69,10.47,10.58,14.78,14.49,2015-2016,POFF,20
Atlanta Hawks,44.67,10.35,11.19,33.69,0.11,12.66,12.94,9.84,10.68,14.86,14.68,2014-2015,POFF,16
