Team,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Opp. Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Opp. Made Avg. Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.),Opp. Missed Avg. Shot Dis.(ft.),Season,Season Type,Match Count
Brooklyn Nets,38.88,15.43,16.83,28.26,0.6,13.07,13.11,10.95,10.54,14.71,15.14,2014-2015,POFF,6
Boston Celtics,44.71,14.5,14.8,25.98,0,11.91,13.98,8.97,11.36,14.03,16.02,2014-2015,POFF,4
Chicago Bulls,42.89,12.74,15.02,28.66,0.7,12.63,12.36,10.91,10.57,13.87,13.59,2014-2015,POFF,12
Cleveland Cavaliers,39.56,13.12,12.65,34.47,0.2,13.35,12.66,10.78,10.36,15.19,14.31,2014-2015,POFF,20
Dallas Mavericks,42.17,16.3,15,25.87,0.65,12.11,10.92,9.44,7.98,14.32,13.49,2014-2015,POFF,5
Golden State Warriors,39.4,12.55,11.81,35.95,0.28,13.5,12.08,11.29,9.95,15.33,13.61,2014-2015,POFF,21
Houston Rockets,49.19,9.32,8.47,32.82,0.21,11.87,12.77,9.05,9.93,14.17,15.19,2014-2015,POFF,17
Los Angeles Clippers,40.24,12.09,17.92,29.42,0.34,13.1,12.72,10.3,10.33,15.55,14.64,2014-2015,POFF,14
Memphis Grizzlies,44.65,20.43,18.27,16.43,0.22,11.08,13.71,9.62,11.71,12.17,15.25,2014-2015,POFF,11
Milwaukee Bucks,43.1,15.5,20.79,20.42,0.19,11.66,13.19,10,11.4,12.71,14.57,2014-2015,POFF,6
New Orleans Pelicans,40.83,16.86,17.16,25.15,0,12.49,13.45,10.88,10.94,13.81,15.48,2014-2015,POFF,4
Portland Trailblazers,39.23,13.64,15.79,31.34,0,13.08,11.06,11.08,9.51,14.41,12.27,2014-2015,POFF,5
San Antonio Spurs,41.01,16.64,11.93,30.25,0.17,12.69,12.73,10.87,10.46,14.17,14.73,2014-2015,POFF,7
Toronto Raptors,43.34,13.31,15.01,27.76,0.57,12.68,12.91,9.96,10.75,14.62,14.92,2014-2015,POFF,4
Washington Wizards,42.12,13.7,15.24,28.94,0,12.68,12.25,10.6,9.58,14.43,14.26,2014-2015,POFF,10
Atlanta Hawks,34.66,10.16,13.43,41.56,0.18,14.96,12.91,13.25,10.64,16.02,14.76,2013-2014,POFF,7
Brooklyn Nets,38.62,17.43,13.76,30.08,0.11,12.98,13.02,10.62,10.34,15.02,15.33,2013-2014,POFF,12
Charlotte Bobcats,42.19,14.62,14.95,28.24,0,12.13,12.81,10.79,10.42,13.22,14.99,2013-2014,POFF,4
Chicago Bulls,41.73,10.94,22.9,24.43,0,12.46,12.79,10.49,10.83,13.89,14.33,2013-2014,POFF,5
Dallas Mavericks,33.61,17.96,22.57,25.21,0.66,13.43,11.84,11.55,9.7,14.99,13.95,2013-2014,POFF,7
Golden State Warriors,46.39,11.34,10.65,31.1,0.52,12.39,13.77,10.03,11.83,14.41,15.51,2013-2014,POFF,7
Houston Rockets,56.73,8.18,7.09,27.27,0.73,10.44,13.34,8.37,11.03,12.1,15.25,2013-2014,POFF,6
Indiana Pacers,38.49,16.03,19.63,25.49,0.35,12.86,13.86,10.92,11.64,14.45,15.56,2013-2014,POFF,19
Los Angeles Clippers,39.04,11,19.84,29.85,0.27,13.53,12.51,11.48,10.13,15.28,14.6,2013-2014,POFF,13
Memphis Grizzlies,51.22,15.56,15.88,16.86,0.49,10.36,13.16,8.18,10.51,11.92,15.19,2013-2014,POFF,7
Miami Heat,37.28,12.68,17.46,32.36,0.21,13.28,12.73,10.81,11.15,15.65,14.19,2013-2014,POFF,20
Oklahoma City Thunder,37.44,17.68,16.32,28.11,0.45,12.93,11.84,10.29,9.71,15.09,13.53,2013-2014,POFF,19
Portland Trailblazers,39.59,16.48,17.93,25.7,0.31,12.51,11.54,10.36,9.84,14.18,13.01,2013-2014,POFF,11
San Antonio Spurs,41.11,14.29,17.95,26.49,0.16,12.33,12.69,10.49,10.52,14.11,14.43,2013-2014,POFF,23
Toronto Raptors,43.74,12.52,15.41,27.94,0.39,12.46,12.85,9.77,9.77,14.59,15.48,2013-2014,POFF,7
Washington Wizards,38.65,15.05,25.2,20.75,0.34,12.73,12.65,10.71,10.94,14.26,13.93,2013-2014,POFF,11
Atlanta Hawks,34.66,10.16,13.43,41.56,0.18,14.96,12.91,13.25,10.64,16.02,14.76,2013-2014,POFF,7
Brooklyn Nets,38.62,17.43,13.76,30.08,0.11,12.98,13.02,10.62,10.34,15.02,15.33,2013-2014,POFF,12
Charlotte Bobcats,42.19,14.62,14.95,28.24,0,12.13,12.81,10.79,10.42,13.22,14.99,2013-2014,POFF,4
Chicago Bulls,41.73,10.94,22.9,24.43,0,12.46,12.79,10.49,10.83,13.89,14.33,2013-2014,POFF,5
Dallas Mavericks,33.61,17.96,22.57,25.21,0.66,13.43,11.84,11.55,9.7,14.99,13.95,2013-2014,POFF,7
Golden State Warriors,46.39,11.34,10.65,31.1,0.52,12.39,13.77,10.03,11.83,14.41,15.51,2013-2014,POFF,7
Houston Rockets,56.73,8.18,7.09,27.27,0.73,10.44,13.34,8.37,11.03,12.1,15.25,2013-2014,POFF,6
Indiana Pacers,38.49,16.03,19.63,25.49,0.35,12.86,13.86,10.92,11.64,14.45,15.56,2013-2014,POFF,19
Los Angeles Clippers,39.04,11,19.84,29.85,0.27,13.53,12.51,11.48,10.13,15.28,14.6,2013-2014,POFF,13
Memphis Grizzlies,51.22,15.56,15.88,16.86,0.49,10.36,13.16,8.18,10.51,11.92,15.19,2013-2014,POFF,7
Miami Heat,37.28,12.68,17.46,32.36,0.21,13.28,12.73,10.81,11.15,15.65,14.19,2013-2014,POFF,20
Oklahoma City Thunder,37.44,17.68,16.32,28.11,0.45,12.93,11.84,10.29,9.71,15.09,13.53,2013-2014,POFF,19
Portland Trailblazers,39.59,16.48,17.93,25.7,0.31,12.51,11.54,10.36,9.84,14.18,13.01,2013-2014,POFF,11
San Antonio Spurs,41.11,14.29,17.95,26.49,0.16,12.33,12.69,10.49,10.52,14.11,14.43,2013-2014,POFF,23
Toronto Raptors,43.74,12.52,15.41,27.94,0.39,12.46,12.85,9.77,9.77,14.59,15.48,2013-2014,POFF,7
Washington Wizards,38.65,15.05,25.2,20.75,0.34,12.73,12.65,10.71,10.94,14.26,13.93,2013-2014,POFF,11
Atlanta Hawks,39.18,11.69,25.32,23.59,0.22,12.88,12.44,10.66,9.4,14.52,14.6,2012-2013,POFF,6
Brooklyn Nets,41.64,14.68,20.48,23.21,0,12,11.78,9.55,10.29,13.95,13.1,2012-2013,POFF,7
Boston Celtics,35.75,13.77,20.53,29.71,0.24,13.55,13.75,11.59,11.63,14.93,15.23,2012-2013,POFF,6
Chicago Bulls,39.21,17.41,22.11,20.96,0.31,12.32,12.41,10.51,9.93,13.73,14.51,2012-2013,POFF,12
Denver Nuggets,45.97,14.73,12.77,25.93,0.59,11.77,13.51,9.21,11.57,13.77,15.41,2012-2013,POFF,6
Golden State Warriors,36.23,18.36,18.95,26.16,0.3,13.11,12.38,11.45,10.11,14.54,14.16,2012-2013,POFF,12
Houston Rockets,43.83,7.41,7.2,40.95,0.62,13.38,13.74,10.5,11.38,15.5,15.66,2012-2013,POFF,6
Indiana Pacers,43.6,15.15,15.5,25.34,0.42,12,12.56,9.45,10.7,13.96,13.94,2012-2013,POFF,19
Los Angeles Clippers,43.14,15.27,16.15,25.22,0.22,12.2,11.08,9.52,8.67,14.55,13.12,2012-2013,POFF,6
Los Angeles Lakers,39.74,19.55,16.99,23.08,0.64,12.56,12.06,8.95,10.4,15.43,13.66,2012-2013,POFF,4
Memphis Grizzlies,43.83,16.11,21.91,17.83,0.33,11.49,12.4,9.63,9.78,12.83,14.54,2012-2013,POFF,15
Miami Heat,39.1,14.59,19.92,26.28,0.11,12.39,11.77,10.13,9.8,14.39,13.29,2012-2013,POFF,23
Milwaukee Bucks,43.97,10.75,15.31,29.64,0.33,12.28,11.52,9.37,7.99,14.51,15.01,2012-2013,POFF,4
New York Knicks,36.73,13.79,20.68,28.5,0.31,13.38,13.25,11.68,10.64,14.57,15.13,2012-2013,POFF,12
Oklahoma City Thunder,34.74,18.93,16.04,29.62,0.67,13.31,12.84,10.93,10.27,15.08,14.66,2012-2013,POFF,11
San Antonio Spurs,40.12,17.86,16.75,25.16,0.12,12.16,12.47,10.25,10.78,13.81,13.75,2012-2013,POFF,21
Atlanta Hawks,40.97,12.18,23.11,23.53,0.21,12.47,12.79,9.79,11.06,14.27,14.11,2011-2012,POFF,6
Boston Celtics,37.14,16.59,25.15,21.13,0,12.36,12.32,10.13,9.77,14.1,14.22,2011-2012,POFF,20
Chicago Bulls,35.95,20.66,27.69,14.88,0.83,12.7,12.33,11.36,10.45,13.68,13.62,2011-2012,POFF,6
Dallas Mavericks,40.38,21.15,10.9,27.56,0,11.91,12.99,10.57,11.16,12.82,14.6,2011-2012,POFF,4
Denver Nuggets,52,12.16,14.56,20.64,0.64,10.76,11.77,8.12,9.71,12.76,13.29,2011-2012,POFF,7
Indiana Pacers,40.39,20.14,16.93,22.54,0,11.8,12.59,9.66,10.66,13.39,14.04,2011-2012,POFF,11
Los Angeles Clippers,42.65,13.9,20.59,22.59,0.27,12.24,11.31,10.62,9.48,13.6,12.84,2011-2012,POFF,11
Los Angeles Lakers,45.19,16.63,17.43,20.64,0.1,11.35,11.06,9.09,8.72,13.01,12.92,2011-2012,POFF,12
Memphis Grizzlies,45.69,17.79,20.97,15.54,0,11.07,12.37,9.18,10.3,12.49,14.07,2011-2012,POFF,7
Miami Heat,38.36,18.52,17.27,25.79,0.06,12.33,11.92,9.88,9.72,14.41,13.59,2011-2012,POFF,23
New York Knicks,41.14,13.62,20.44,23.98,0.82,12.48,13.19,10.07,10.83,14.21,15.17,2011-2012,POFF,5
Oklahoma City Thunder,39.59,18.64,17.82,23.76,0.19,11.97,11.66,10.28,9.67,13.44,13.23,2011-2012,POFF,20
Orlando Magic,33.93,10.28,24.16,31.36,0.26,14.22,11.84,12.63,9.34,15.28,13.85,2011-2012,POFF,5
Philadelphia 76ers,38.03,22.56,22.56,16.55,0.3,11.78,12.7,9.88,10.76,13.12,14.17,2011-2012,POFF,13
San Antonio Spurs,44.75,13.91,12.65,28.6,0.1,11.79,11.56,9.9,10.39,13.55,12.49,2011-2012,POFF,14
Utah Jazz,42.57,20.7,23.62,12.54,0.58,11.02,10.99,9.05,8.97,12.24,12.86,2011-2012,POFF,4
Atlanta Hawks,35.16,14.62,31.87,18.35,0,13.08,12.49,10.97,9.56,14.7,14.73,2010-2011,POFF,12
Boston Celtics,39.31,18.64,21.24,20.52,0.29,11.85,12.37,11.02,10.39,12.58,13.8,2010-2011,POFF,9
Chicago Bulls,45.69,9.46,21.02,23.2,0.62,12.1,12.11,10.25,10.18,13.45,13.58,2010-2011,POFF,16
Dallas Mavericks,36.96,19.53,13.8,29.2,0.51,12.9,11.94,11.4,9.05,14.18,14.27,2010-2011,POFF,21
Denver Nuggets,43.12,13.77,19.22,23.38,0.52,12.02,13.79,10.6,11.48,13.05,15.46,2010-2011,POFF,5
Indiana Pacers,42.14,11.47,27.18,18.7,0.5,12.22,12.2,11.36,10.47,12.82,13.43,2010-2011,POFF,5
Los Angeles Lakers,44.34,18.25,16.07,21.21,0.13,11.7,13.18,9.05,11.54,13.84,14.64,2010-2011,POFF,10
Memphis Grizzlies,50.46,17.22,17.95,13.92,0.46,10.09,11.88,8.46,9.36,11.35,13.89,2010-2011,POFF,13
Miami Heat,39.05,15.98,20.6,24.11,0.26,12.65,12.32,10.35,10.94,14.48,13.36,2010-2011,POFF,21
New Orleans Hornets,40.6,18.79,21.11,19.26,0.23,12.23,11.58,10.26,9.39,13.89,13.46,2010-2011,POFF,6
New York Knicks,43.37,10.84,17.17,28.31,0.3,12.23,11.71,10.94,11.09,13.05,12.28,2010-2011,POFF,4
Oklahoma City Thunder,41.25,14.91,18.82,24.28,0.74,12.36,10.97,9.7,9.31,14.47,12.2,2010-2011,POFF,17
Orlando Magic,41.98,10.11,16.92,29.89,1.1,13.25,14.29,9.41,12.85,15.91,15.35,2010-2011,POFF,6
Philadelphia 76ers,36.52,23.77,19.61,20.1,0,12.11,13.02,10.43,11.25,13.3,14.34,2010-2011,POFF,5
Portland Trailblazers,44.19,16.63,16.4,22.32,0.46,11.65,12.8,8.93,11.47,13.91,13.91,2010-2011,POFF,6
San Antonio Spurs,46.22,12.74,17.49,22.89,0.65,11.74,10.56,9.38,8.7,13.57,12.24,2010-2011,POFF,6
Atlanta Hawks,39.73,14.16,29,17.01,0.11,11.82,12.84,10.25,10.27,12.98,15.04,2009-2010,POFF,11
Boston Celtics,42.81,14.66,21.49,20.94,0.11,11.52,12.18,9.88,9.8,12.88,13.98,2009-2010,POFF,24
Charlotte Bobcats,43.26,8.87,23.76,23.76,0.35,11.81,14.7,9.46,12.96,13.69,16.07,2009-2010,POFF,4
Chicago Bulls,37.82,16.01,33.64,12.53,0,11.65,13.18,10.44,11.32,12.59,14.97,2009-2010,POFF,5
Cleveland Cavaliers,43.96,11.11,17.22,27.72,0,11.97,11.46,9.73,9.75,13.95,12.88,2009-2010,POFF,11
Dallas Mavericks,38.24,19.96,17.44,23.74,0.63,12.23,10.97,10.37,9.07,13.63,12.59,2009-2010,POFF,6
Denver Nuggets,46.5,11.89,18.47,22.29,0.85,11.17,11.56,8.09,9.07,13.96,14.12,2009-2010,POFF,6
Los Angeles Lakers,40.69,16.21,17.77,24.96,0.38,12.27,11.57,10,9.71,14.19,13.01,2009-2010,POFF,23
Miami Heat,35.23,18.13,23.06,23.06,0.52,12.88,11.64,11.2,10.62,14.17,12.56,2009-2010,POFF,5
Milwaukee Bucks,40.11,13.49,19.78,26.26,0.36,12.35,11.58,9.73,10.36,14.29,12.59,2009-2010,POFF,7
Oklahoma City Thunder,40.64,17.66,18.09,23.4,0.21,11.54,12.37,9.61,10.11,12.79,14.16,2009-2010,POFF,6
Orlando Magic,38.24,11.3,12.41,37.64,0.4,13.7,12.22,11.29,10.4,15.79,13.55,2009-2010,POFF,14
Phoenix Suns,37.44,15.54,16.33,30.46,0.24,12.88,12.53,11.07,10.27,14.52,14.52,2009-2010,POFF,16
Portland Trailblazers,35.14,14.75,28.42,20.82,0.87,12.94,12.91,10.34,10.54,14.89,15.03,2009-2010,POFF,6
San Antonio Spurs,41.4,18.98,21.53,17.83,0.25,11.21,12.25,9.17,10.82,12.97,13.42,2009-2010,POFF,10
Utah Jazz,45.41,13.08,19.62,21.38,0.5,11.04,11.39,8.9,8.48,13,14.09,2009-2010,POFF,10
Atlanta Hawks,40.74,14.2,21.36,23.21,0.49,12.31,13.9,10.22,11.98,13.76,15.55,2008-2009,POFF,11
Boston Celtics,39.51,13.51,24.72,22.09,0.17,12.41,12.53,10.85,10.68,13.66,14.01,2008-2009,POFF,14
Chicago Bulls,39.18,13.44,25.25,21.8,0.33,12.32,11.84,11.08,10.43,13.3,13,2008-2009,POFF,7
Cleveland Cavaliers,34.03,13.5,26.14,26.14,0.19,13.39,13.31,10.95,11.5,15.49,14.69,2008-2009,POFF,14
Dallas Mavericks,31.84,19.29,21.66,27.08,0.13,13.33,11.75,11.69,9.63,14.79,13.72,2008-2009,POFF,10
Denver Nuggets,42.98,9.65,20.65,26.32,0.4,12.15,12.47,9.84,10.3,14.25,14.23,2008-2009,POFF,16
Detroit Pistons,28.9,13.31,41.88,15.26,0.65,13.73,14.09,11.71,11.2,15.13,16.55,2008-2009,POFF,4
Houston Rockets,39.74,12.44,21.44,25.78,0.61,12.62,12.43,10.3,10.04,14.49,14.39,2008-2009,POFF,13
Los Angeles Lakers,40.7,17.3,19.19,22.59,0.22,11.89,12.25,10,9.72,13.54,14.16,2008-2009,POFF,23
Miami Heat,27.72,17.25,26.49,27.93,0.62,14.56,11.73,12.43,9.65,16.31,13.25,2008-2009,POFF,7
New Orleans Hornets,37.32,15.1,21.37,26.21,0,12.32,13.14,9.8,11.2,13.98,15.06,2008-2009,POFF,5
Orlando Magic,40.66,14.86,13.59,30.55,0.33,12.55,12.73,10.42,10.8,14.35,14.31,2008-2009,POFF,24
Philadelphia 76ers,36.89,17.11,24.67,20.89,0.44,12.33,11.64,10.38,9.28,13.95,13.68,2008-2009,POFF,6
Portland Trailblazers,31.1,22.6,27.07,18.57,0.67,13.06,12.47,10.56,10.79,15.08,13.98,2008-2009,POFF,6
San Antonio Spurs,38.9,19.06,19.06,22.72,0.26,12,13.45,10.19,12.18,13.52,14.55,2008-2009,POFF,5
Utah Jazz,41.34,11.39,29.46,17.82,0,11.49,11.63,9.11,9.87,13.3,13.36,2008-2009,POFF,5
Atlanta Hawks,39.68,11.42,31.46,17.43,0,12.27,12.08,9.76,10.51,14.01,13.42,2007-2008,POFF,7
Boston Celtics,38.1,17.51,22.02,22.02,0.36,12.37,13.44,10.62,11.36,13.79,14.98,2007-2008,POFF,26
Cleveland Cavaliers,33.96,14.12,25.75,25.86,0.31,13.55,12.52,11.46,10.36,15.06,14.12,2007-2008,POFF,13
Dallas Mavericks,32.23,19.54,22.08,25.89,0.25,12.91,12.39,11.22,11.46,14.04,13.27,2007-2008,POFF,5
Denver Nuggets,46.61,13.56,19.49,20.34,0,10.61,12.41,7.72,9.54,12.76,15.09,2007-2008,POFF,4
Detroit Pistons,29.54,23.14,29.54,17.54,0.24,12.92,11.23,11.03,9.2,14.49,12.87,2007-2008,POFF,17
Houston Rockets,44.28,9.96,20.55,24.36,0.85,11.93,11.85,9.62,9.53,13.53,13.73,2007-2008,POFF,6
Los Angeles Lakers,42.7,12.78,20.53,23.68,0.3,11.94,11.72,9.57,9.49,14.03,13.45,2007-2008,POFF,21
New Orleans Hornets,38.48,20.88,23.35,17.18,0.1,11.48,13.57,10.14,11.85,12.65,14.84,2007-2008,POFF,12
Orlando Magic,41.38,13.79,11.14,33.29,0.4,12.13,13.39,9.76,10.91,14.24,15.26,2007-2008,POFF,10
Philadelphia 76ers,46.43,18.53,24.55,9.82,0.67,9.81,12.18,7.8,10.4,11.25,13.88,2007-2008,POFF,6
Phoenix Suns,40.29,22.57,19.42,17.23,0.49,11.23,10.52,9.48,9.06,12.73,11.8,2007-2008,POFF,5
San Antonio Spurs,36.75,17.42,20.89,24.8,0.15,12.42,11.08,10.67,9.19,13.83,12.66,2007-2008,POFF,17
Toronto Raptors,29.67,14.02,28.5,27.1,0.7,14.25,12.45,11.92,9.58,16.05,15.02,2007-2008,POFF,5
Utah Jazz,43.28,12.12,24.44,19.65,0.51,11.5,11.28,8.94,9.07,13.55,13.08,2007-2008,POFF,12
Washington Wizards,42.57,9.53,21.73,25.94,0.22,12.57,13.14,9.93,11.24,14.53,14.58,2007-2008,POFF,6
Chicago Bulls,31.35,16.14,30.56,21.83,0.13,13.21,13.19,11.93,11.04,14.18,14.84,2006-2007,POFF,10
Cleveland Cavaliers,38.47,17.69,22.15,21.17,0.52,12.18,12.27,10.03,9.96,13.74,13.99,2006-2007,POFF,20
Dallas Mavericks,33.61,15.88,22.89,27.01,0.62,13.66,12.99,10.76,10.76,15.79,14.91,2006-2007,POFF,6
Denver Nuggets,45.34,19.65,17.38,17.63,0,10.31,11.63,8.15,9.49,11.89,13.34,2006-2007,POFF,5
Detroit Pistons,30.43,23.44,24.26,21.63,0.25,13.08,11.61,11.27,9.74,14.44,13.02,2006-2007,POFF,16
Golden State Warriors,39.08,7.95,14.78,37.96,0.22,13.49,12.43,11.12,9.76,15.43,14.64,2006-2007,POFF,11
Houston Rockets,31.36,20.51,17.36,30.37,0.39,13.58,12.29,10.88,10.2,15.45,13.96,2006-2007,POFF,7
Los Angeles Lakers,41.16,17.21,18.6,22.56,0.47,11.64,12.49,9.27,9.56,13.52,15.19,2006-2007,POFF,5
Miami Heat,42.14,15.72,19.4,22.41,0.33,11.58,13.68,8.54,13.24,14.02,14.06,2006-2007,POFF,4
New Jersey Nets,38.64,9.32,23.75,28.07,0.23,12.73,13.52,10.42,11.83,14.57,14.78,2006-2007,POFF,12
Orlando Magic,47.75,17.99,24.22,10.03,0,9.51,13.29,7.77,11.81,11.09,14.49,2006-2007,POFF,4
Phoenix Suns,40.44,19.44,17.33,22.44,0.33,11.63,12.01,9.62,10,13.46,13.65,2006-2007,POFF,11
San Antonio Spurs,40.46,16.81,17.33,25.28,0.13,11.97,10.66,9.94,9.02,13.68,11.95,2006-2007,POFF,20
Toronto Raptors,28.8,14.29,37.19,19.05,0.68,13.97,12.89,12.96,10.38,14.77,15.02,2006-2007,POFF,6
Utah Jazz,41.78,16,26.44,15.56,0.22,11.28,13.15,9.39,10.66,12.88,15.12,2006-2007,POFF,17
Washington Wizards,38.86,15.36,21.08,24.7,0,12.45,12.27,9.98,9.99,14.19,14.22,2006-2007,POFF,4
Chicago Bulls,32.53,14.41,27.07,25.98,0,13.48,12.3,12.14,9.33,14.56,14.88,2005-2006,POFF,6
Cleveland Cavaliers,46.05,14.91,21.82,17.12,0.1,10.63,12.64,7.7,10.63,12.9,14.2,2005-2006,POFF,13
Dallas Mavericks,36.86,23.72,20.58,18.62,0.22,11.69,10.6,9.95,8.43,13.12,12.52,2005-2006,POFF,23
Denver Nuggets,38,15.85,30.3,15.62,0.23,11.81,12.11,9.06,10.48,13.5,13.51,2005-2006,POFF,5
Detroit Pistons,31.09,23.69,20.33,24.74,0.15,13.02,10.84,11.29,8.4,14.33,12.95,2005-2006,POFF,18
Indiana Pacers,32.7,19.43,20.14,27.73,0,13.29,11.53,11.5,9.3,14.71,13.34,2005-2006,POFF,6
Los Angeles Clippers,35.09,26.63,23.53,14.45,0.31,11.63,12.34,9.75,9.81,13.45,14.28,2005-2006,POFF,12
Los Angeles Lakers,40.72,17.53,16.15,25.26,0.34,12.16,12.55,8.98,10.38,14.8,14.62,2005-2006,POFF,7
Memphis Grizzlies,52.63,10.9,18.42,18.05,0,10.07,12.28,7.85,11.19,11.9,13.18,2005-2006,POFF,4
Miami Heat,43.88,13.75,15.97,25.99,0.42,11.57,13,8.94,10.94,14.01,14.56,2005-2006,POFF,23
Milwaukee Bucks,41.9,20.2,22.44,15.46,0,10.83,13.91,9.32,12.58,12.18,15.17,2005-2006,POFF,5
New Jersey Nets,41.49,11.63,23.86,22.66,0.36,12.18,12.47,9.76,10.28,14.18,14.38,2005-2006,POFF,11
Phoenix Suns,39.01,17.16,15.59,27.87,0.36,12.26,11.57,10.02,9.09,14.34,13.81,2005-2006,POFF,20
Sacramento Kings,42.22,13.43,24.95,19.19,0.21,11.72,12.15,9.17,10.38,13.76,14.01,2005-2006,POFF,6
San Antonio Spurs,48.18,13.91,17.45,20.46,0,10.76,11.14,8.88,9.3,12.59,12.69,2005-2006,POFF,13
Washington Wizards,42.58,10.81,22.25,24.15,0.21,12.44,10.6,10.04,7.99,14.4,12.8,2005-2006,POFF,6
Boston Celtics,49.42,13.08,17.5,19.81,0.19,10.6,12.64,9.37,11.87,11.58,13.15,2004-2005,POFF,7
Chicago Bulls,37.6,16.54,18.5,27.17,0.2,12.86,12.89,11.69,10.21,13.7,15,2004-2005,POFF,6
Dallas Mavericks,37.02,19.2,23.03,20.29,0.46,12.09,11.17,10.91,9.43,13.06,12.73,2004-2005,POFF,13
Denver Nuggets,47.07,21.63,20.61,10.43,0.25,9.66,11.53,7.7,9.8,11.07,12.9,2004-2005,POFF,5
Detroit Pistons,38.25,24.32,19.96,17.27,0.2,11.38,11.48,9.63,9.4,12.74,13.07,2004-2005,POFF,25
Houston Rockets,42.02,10.46,23.95,23.38,0.19,11.99,12.39,10.21,11.83,13.54,12.84,2004-2005,POFF,7
Indiana Pacers,38.25,17.81,19.6,24.13,0.21,12.34,11.22,10.78,9.57,13.36,12.48,2004-2005,POFF,13
Memphis Grizzlies,42.45,17.38,17.66,21.65,0.85,11.63,12.55,10.02,10.83,13.08,14.29,2004-2005,POFF,4
Miami Heat,41.48,15.68,21.7,20.97,0.18,11.61,12.05,9.56,10.27,13.59,13.31,2004-2005,POFF,15
New Jersey Nets,35.69,16.22,22.42,25.37,0.29,12.79,11.73,10.64,10.64,14.2,12.88,2004-2005,POFF,4
Seattle SuperSonics,44.72,19.72,15.49,19.72,0.35,11.03,12.12,8.57,9.51,13.11,14.32,2004-2005,POFF,11
Philadelphia 76ers,36.18,14.57,24.87,23.87,0.5,12.75,12.16,10.9,9.87,14.18,14.2,2004-2005,POFF,5
Phoenix Suns,43.24,20.44,13.05,22.8,0.47,10.9,11.48,9.46,9.62,12.3,13.12,2004-2005,POFF,15
Sacramento Kings,35.03,10.67,30.16,23.9,0.23,13.4,12.13,10.62,9.22,15.63,14.68,2004-2005,POFF,5
San Antonio Spurs,47.41,15.41,13.3,23.54,0.34,10.98,10.16,9.07,8.51,12.57,11.49,2004-2005,POFF,23
Washington Wizards,36.8,16.59,23.85,22.28,0.48,12.7,12.86,10.16,11.22,14.58,14.21,2004-2005,POFF,10